"Date","Open","High","Low","Close"
"31 Dec 2012","5839.7","5856.4","5839.55","5847.50"
"28 Dec 2012","5821.5","5852.5","5816.25","5845.70"
"27 Dec 2012","5860.65","5862.6","5802","5806.80"
"26 Dec 2012","5801.1","5850.4","5798.4","5839.70"
"24 Dec 2012","5803.15","5808.5","5783.35","5793.20"
"21 Dec 2012","5830.65","5830.65","5779.85","5785.30"
"20 Dec 2012","5868.5","5868.5","5818","5854.80"
"19 Dec 2012","5848.7","5871.85","5846.85","5864.80"
"18 Dec 2012","5799.35","5837.7","5753.3","5830.90"
"17 Dec 2012","5783.6","5809.05","5777.75","5786.20"
"14 Dec 2012","5765.65","5803.75","5758.05","5799.50"
"13 Dec 2012","5818.7","5825.75","5759.8","5769.50"
"12 Dec 2012","5832.65","5841.65","5794","5808.10"
"11 Dec 2012","5841.95","5880.95","5781.5","5816.40"
"10 Dec 2012","5832.05","5838.8","5809","5829.10"
"07 Dec 2012","5851.55","5868.1","5806.95","5824.40"
"06 Dec 2012","5838.1","5858.5","5761.85","5848.60"
"05 Dec 2012","5820.25","5833.7","5808.4","5816.30"
"04 Dec 2012","5782.25","5810.8","5774.75","5805.20"
"03 Dec 2012","5785.05","5806.45","5768.6","5785.60"
"30 Nov 2012","5744.1","5790.35","5736.9","5786.10"
"29 Nov 2012","5652.4","5740.6","5652.4","5734.50"
"27 Nov 2012","5573.35","5649.2","5573.35","5644.30"
"26 Nov 2012","5553.35","5563.1","5541.35","5554.20"
"23 Nov 2012","5538.75","5543.75","5502.25","5534.80"
"22 Nov 2012","5527.45","5545.1","5510.5","5532.20"
"21 Nov 2012","5485.05","5520.2","5465.3","5515.70"
"20 Nov 2012","5507.75","5519.05","5452.5","5475.60"
"19 Nov 2012","5492.8","5508.05","5459.15","5479.30"
"16 Nov 2012","5541.4","5566.7","5477.2","5489.90"
"15 Nov 2012","5561.3","5561.3","5519.3","5546.70"
"13 Nov 2012","5594.35","5599.1","5569.15","5575.50"
"12 Nov 2012","5579.75","5610.45","5568.1","5589.20"
"09 Nov 2012","5621.35","5643.95","5570.45","5577.90"
"08 Nov 2012","5601.6","5633.15","5592.2","5627.80"
"07 Nov 2012","5600.55","5660.25","5596.15","5644.90"
"06 Nov 2012","5577.35","5610.8","5577.35","5605.20"
"05 Nov 2012","5577.7","5593.1","5562.8","5586.10"
"02 Nov 2012","5575.15","5594.9","5568.9","5581.80"
"01 Nov 2012","5495","5536.35","5491.3","5531.60"
"31 Oct 2012","5475.1","5507.55","5465.1","5503.20"
"30 Oct 2012","5531.45","5563.4","5468.65","5476.10"
"29 Oct 2012","5543.9","5573.7","5519.35","5539.20"
"26 Oct 2012","5569.1","5582.25","5522.65","5543.10"
"25 Oct 2012","5574.5","5598.15","5570.65","5587.80"
"23 Oct 2012","5600","5606.3","5567.9","5576.40"
"22 Oct 2012","5558.35","5604.05","5545.55","5601.30"
"19 Oct 2012","5592.9","5600.2","5548.2","5572.60"
"18 Oct 2012","5562.8","5609.4","5542.75","5606.20"
"17 Oct 2012","5566.9","5572.7","5524.05","5549.90"
"16 Oct 2012","5594.6","5605.25","5527.45","5538.70"
"15 Oct 2012","5571.5","5585.8","5549.3","5578.90"
"12 Oct 2012","5577.85","5620.9","5563.8","5573.10"
"11 Oct 2012","5553.35","5611.3","5527.8","5599.80"
"10 Oct 2012","5568.05","5579.05","5539.5","5543.70"
"09 Oct 2012","5594.85","5619.55","5569.9","5596.60"
"08 Oct 2012","5637.45","5637.45","5559.2","5567.70"
"05 Oct 2012","5695.4","5698.1","5146.65","5633.30"
"04 Oct 2012","5635.25","5691.75","5635.25","5671.60"
"03 Oct 2012","5609.7","5630.85","5602.7","5617.90"
"01 Oct 2012","5585.1","5605.2","5578.05","5602.00"
"28 Sep 2012","5557.45","5611.6","5557.45","5583.70"
"27 Sep 2012","5540.95","5562.85","5517.3","5527.10"
"26 Sep 2012","5523.35","5542.3","5508.75","5532.20"
"25 Sep 2012","5537.7","5567.15","5518.1","5540.60"
"24 Sep 2012","5546.15","5569.35","5526.4","5532.60"
"21 Sep 2012","5437.1","5569.55","5437.1","5545.50"
"20 Sep 2012","5404.15","5444.35","5401.6","5417.70"
"18 Sep 2012","5448.1","5472","5436.05","5456.80"
"17 Sep 2012","5461.25","5482.35","5425.05","5454.30"
"14 Sep 2012","5368.3","5423.35","5368.3","5415.80"
"13 Sep 2012","5294.05","5306.25","5278.35","5290.40"
"12 Sep 2012","5268.25","5294","5258.05","5290.70"
"11 Sep 2012","5210.4","5258.9","5207.55","5256.00"
"10 Sep 2012","5228.65","5241.4","5217.7","5233.30"
"08 Sep 2012","5209.65","5232.6","5209.65","5226.00"
"07 Sep 2012","5174.3","5212.5","5174.3","5208.40"
"06 Sep 2012","5093.95","5134.95","5093.95","5114.80"
"05 Sep 2012","5120.5","5132.15","5092.05","5100.70"
"04 Sep 2012","5117.2","5148.6","5107.25","5145.60"
"03 Sep 2012","5141.55","5161.2","5110.6","5121.00"
"31 Aug 2012","5159.65","5167.85","5105.3","5126.30"
"30 Aug 2012","5133.35","5194.4","5118.55","5173.70"
"29 Aug 2012","5198.95","5200","5143.7","5149.40"
"28 Aug 2012","5208.65","5217.8","5166.6","5191.20"
"27 Aug 2012","5249.85","5260.85","5207.45","5210.50"
"24 Aug 2012","5255.75","5258.95","5231.7","5248.80"
"23 Aug 2012","5286.35","5307.6","5255.15","5274.90"
"22 Aug 2012","5264.95","5295.9","5264.55","5275.50"
"21 Aug 2012","5240.7","5289.95","5240.7","5286.20"
"17 Aug 2012","5242.05","5273.2","5215.8","5238.70"
"16 Aug 2012","5258.6","5263.75","5230.9","5237.20"
"14 Aug 2012","5220.35","5259.65","5207.45","5253.70"
"13 Aug 2012","5188.5","5229","5186.4","5224.30"
"10 Aug 2012","5183.65","5200.3","5167.65","5191.80"
"09 Aug 2012","5219.95","5238.45","5185.35","5196.00"
"08 Aug 2012","5221.8","5248.2","5204.15","5211.20"
"07 Aug 2012","5177.05","5228.25","5166.95","5214.40"
"06 Aug 2012","5144.05","5178.5","5144.05","5166.20"
"03 Aug 2012","5092.45","5110.95","5059.95","5106.20"
"02 Aug 2012","5119.5","5121.7","5100.4","5119.40"
"01 Aug 2012","5105.45","5131.6","5098.95","5125.80"
"31 Jul 2012","5096.8","5117","5041.35","5112.20"
"30 Jul 2012","5011.3","5089.4","5011.3","5084.10"
"27 Jul 2012","5009.55","5041.9","4966.8","4986.20"
"26 Jul 2012","5022.95","5023.05","4931.9","4941.30"
"25 Jul 2012","5020.7","5022.2","4979.1","5009.00"
"24 Jul 2012","5025.2","5041.1","5002.1","5029.10"
"23 Jul 2012","5064.4","5064.4","5006.4","5016.30"
"20 Jul 2012","5123.15","5126.7","5089.1","5099.70"
"19 Jul 2012","5135.9","5145.65","5122.8","5131.10"
"18 Jul 2012","5093.35","5113.45","5062.9","5107.60"
"17 Jul 2012","5121.9","5132.35","5078.4","5088.40"
"16 Jul 2012","5127.3","5140.9","5090.4","5096.00"
"13 Jul 2012","5139","5162.55","5115.25","5122.90"
"12 Jul 2012","5140.65","5155.45","5115.4","5132.60"
"11 Jul 2012","5206.05","5225.5","5191.75","5196.00"
"10 Jul 2012","5174.7","5233.9","5174.7","5231.20"
"09 Jul 2012","5180.85","5191.6","5146.7","5165.20"
"06 Jul 2012","5219.95","5219.95","5182.85","5208.70"
"05 Jul 2012","5192.45","5227.9","5184.9","5222.00"
"04 Jul 2012","5199.65","5208.35","5168.2","5196.80"
