"Date","Open","High","Low","Close"
"31 Dec 2012","7899.95","7959.25","7897.05","7927.40"
"28 Dec 2012","7786.2","7934.3","7785","7902.70"
"27 Dec 2012","7834.3","7834.3","7726.65","7741.10"
"26 Dec 2012","7755.9","7833.7","7755.9","7805.20"
"24 Dec 2012","7759.6","7765.4","7704.3","7735.40"
"21 Dec 2012","7850.2","7850.2","7747","7763.00"
"20 Dec 2012","7925.15","7925.15","7833.5","7879.50"
"19 Dec 2012","7863.45","7908.3","7862.75","7900.40"
"18 Dec 2012","7841.9","7864.75","7781.3","7822.70"
"17 Dec 2012","7819.25","7897.4","7813.1","7828.80"
"14 Dec 2012","7839.15","7879.35","7807.1","7851.20"
"13 Dec 2012","7842.75","7877.55","7804.35","7828.60"
"12 Dec 2012","7845.4","7846.8","7784.2","7828.20"
"11 Dec 2012","7930.45","7956.1","7771.2","7817.90"
"10 Dec 2012","7976.95","7976.95","7865.25","7896.90"
"07 Dec 2012","8001.95","8030.1","7930.9","7954.70"
"06 Dec 2012","7949.7","8019.55","7848.45","8007.20"
"05 Dec 2012","7931.15","7953.45","7878.9","7932.30"
"04 Dec 2012","7771.4","7903.6","7771.4","7896.80"
"03 Dec 2012","7746.25","7783.5","7707.05","7763.20"
"30 Nov 2012","7670.15","7778.6","7664.05","7740.30"
"29 Nov 2012","7578.5","7700.9","7568.65","7671.90"
"27 Nov 2012","7538.6","7577","7524.4","7569.90"
"26 Nov 2012","7537.35","7551.35","7488.2","7501.30"
"23 Nov 2012","7500.05","7536.7","7467.65","7507.00"
"22 Nov 2012","7529.55","7532.55","7470.3","7492.10"
"21 Nov 2012","7512","7533.25","7479.2","7518.20"
"20 Nov 2012","7585.2","7591.75","7494.15","7509.50"
"19 Nov 2012","7570.65","7582.6","7497.95","7550.30"
"16 Nov 2012","7628.85","7671.9","7554.7","7575.50"
"15 Nov 2012","7654.95","7654.95","7588.9","7631.80"
"13 Nov 2012","7657.95","7683.35","7630.35","7660.90"
"12 Nov 2012","7655.35","7688.25","7601.15","7640.80"
"09 Nov 2012","7742.9","7801.1","7653.45","7660.80"
"08 Nov 2012","7744.75","7772.05","7720","7758.80"
"07 Nov 2012","7811","7838.75","7796.9","7811.10"
"06 Nov 2012","7795.8","7849.35","7776.75","7837.10"
"05 Nov 2012","7797.15","7822.9","7787.45","7807.90"
"02 Nov 2012","7837","7852.9","7789.35","7828.30"
"01 Nov 2012","7733.2","7791.2","7699.45","7785.00"
"31 Oct 2012","7793.3","7816.05","7744.05","7785.60"
"30 Oct 2012","7857.2","7875.8","7785.5","7802.20"
"29 Oct 2012","7832.95","7904.75","7832.95","7874.20"
"26 Oct 2012","7854.45","7882.45","7779.4","7821.30"
"25 Oct 2012","7908.7","7949.35","7885.45","7897.10"
"23 Oct 2012","7924.8","7935","7878.05","7893.20"
"22 Oct 2012","7812.85","7949.25","7810.4","7940.70"
"19 Oct 2012","7923.45","7928.7","7838.95","7870.90"
"18 Oct 2012","7933.5","7977.05","7883.2","7949.20"
"17 Oct 2012","7960.85","7965.15","7889.1","7912.40"
"16 Oct 2012","8078.1","8079.15","7906.35","7922.30"
"15 Oct 2012","7964","8018.05","7941.8","7991.40"
"12 Oct 2012","7954.1","8019","7943.5","7958.50"
"11 Oct 2012","7938.5","7987.15","7888.8","7965.70"
"10 Oct 2012","7941.4","7955.1","7896.7","7906.90"
"09 Oct 2012","8040.5","8060.35","7965.5","7975.30"
"08 Oct 2012","8201.7","8201.7","7980.35","8003.90"
"05 Oct 2012","8217.5","8237.85","7788.95","8208.60"
"04 Oct 2012","8147.2","8220.9","8147.2","8176.10"
"03 Oct 2012","8063.35","8141.25","8063.35","8103.70"
"01 Oct 2012","8077.7","8093.85","8027.65","8043.80"
"28 Sep 2012","8042.65","8118.25","8040.45","8071.60"
"27 Sep 2012","8079.65","8104.7","7939.55","7964.80"
"26 Sep 2012","8047.1","8105.2","8014.2","8076.80"
"25 Sep 2012","8102.1","8142.45","8030.85","8062.90"
"24 Sep 2012","8204.5","8225.1","8067.25","8083.60"
"21 Sep 2012","8002.75","8230.3","8002.75","8200.30"
"20 Sep 2012","8003.4","8076.1","7961.75","7990.50"
"18 Sep 2012","8182.8","8220.6","8086.65","8106.30"
"17 Sep 2012","8114.2","8273.25","8114.2","8200.70"
"14 Sep 2012","8015.2","8083","7986.25","8048.50"
"13 Sep 2012","7820.5","7907.95","7815.5","7847.40"
"12 Sep 2012","7805.15","7833.05","7775.6","7823.80"
"11 Sep 2012","7749.6","7819.75","7749.6","7793.50"
"10 Sep 2012","7803.7","7825.35","7762.15","7784.00"
"08 Sep 2012","7765.95","7802.95","7765.95","7786.40"
"07 Sep 2012","7730.95","7793.3","7721.45","7766.70"
"06 Sep 2012","7590.75","7684.4","7576.35","7634.10"
"05 Sep 2012","7646.25","7679.15","7585.5","7628.40"
"04 Sep 2012","7590.1","7697.5","7590.1","7688.00"
"03 Sep 2012","7638.6","7671.15","7573.25","7589.30"
"31 Aug 2012","7720","7731.4","7580.2","7620.20"
"30 Aug 2012","7712.15","7766.55","7666.85","7737.30"
"29 Aug 2012","7816","7831.95","7717","7729.70"
"28 Aug 2012","7798.05","7833.7","7750.75","7807.40"
"27 Aug 2012","7799.8","7847.1","7789.3","7804.60"
"24 Aug 2012","7809","7823.9","7744.4","7781.30"
"23 Aug 2012","7911.55","7926.8","7784.9","7824.50"
"22 Aug 2012","7906.3","7957.7","7889.05","7902.40"
"21 Aug 2012","7881.95","7957.65","7881.95","7947.50"
"17 Aug 2012","7964.8","7997.75","7849.25","7885.30"
"16 Aug 2012","7906.6","7972.4","7879.15","7947.30"
"14 Aug 2012","7805.45","7910.2","7801.15","7892.60"
"13 Aug 2012","7766.95","7837.3","7766.95","7810.30"
"10 Aug 2012","7716.65","7804.7","7710.8","7755.10"
"09 Aug 2012","7774.55","7835.35","7706.4","7733.60"
"08 Aug 2012","7781.7","7846.25","7772.85","7792.60"
"07 Aug 2012","7761.05","7822.85","7726.45","7777.10"
"06 Aug 2012","7593.7","7782.5","7593.7","7765.20"
"03 Aug 2012","7472.15","7571.75","7440.3","7553.00"
"02 Aug 2012","7535.2","7556.9","7492.15","7508.70"
"01 Aug 2012","7558","7592.65","7533.65","7565.70"
"31 Jul 2012","7479.3","7599.4","7404.5","7567.70"
"30 Jul 2012","7348.45","7474.65","7348.45","7461.10"
"27 Jul 2012","7356.8","7409.85","7284.45","7332.00"
"26 Jul 2012","7390.15","7390.15","7235.05","7254.10"
"25 Jul 2012","7388.75","7399.25","7314.4","7364.90"
"24 Jul 2012","7398.25","7432.2","7369.65","7414.10"
"23 Jul 2012","7392.4","7426.6","7322.1","7370.80"
"20 Jul 2012","7472.95","7489.75","7426.55","7451.10"
"19 Jul 2012","7460.3","7518.25","7460.3","7506.60"
"18 Jul 2012","7429.8","7458.15","7401.5","7419.90"
"17 Jul 2012","7486.35","7512.7","7413.15","7427.80"
"16 Jul 2012","7466.75","7503.45","7431.85","7463.50"
"13 Jul 2012","7465.6","7514.7","7451.35","7465.40"
"12 Jul 2012","7423.55","7495.85","7423.55","7474.80"
"11 Jul 2012","7485.05","7521.25","7450.95","7466.80"
"10 Jul 2012","7476.5","7558.8","7476.5","7544.60"
"09 Jul 2012","7483.95","7522.55","7455.6","7479.00"
"06 Jul 2012","7564.85","7564.85","7489.45","7530.00"
"05 Jul 2012","7561.25","7584.25","7532.3","7565.80"
"04 Jul 2012","7614.5","7614.5","7510.7","7561.00"
"03 Jul 2012","7590.2","7617.05","7545.5","7588.30"
"02 Jul 2012","7544.6","7574.85","7492.05","7560.30"
"29 Jun 2012","7424.1","7558","7424.1","7543.50"
"28 Jun 2012","7411.45","7440.35","7352.95","7385.60"
"27 Jun 2012","7430.3","7449.25","7364.85","7396.30"
"26 Jun 2012","7302.95","7404.1","7302.95","7385.70"
"25 Jun 2012","7335.45","7391.9","7278.45","7297.40"
"22 Jun 2012","7267.45","7342.25","7227.45","7319.50"
"21 Jun 2012","7353.25","7355.2","7270.7","7323.60"
"20 Jun 2012","7349.25","7403.85","7341.1","7375.10"
"19 Jun 2012","7175.9","7342.5","7175.9","7328.40"
"18 Jun 2012","7309.3","7336.6","7163.3","7202.80"
"15 Jun 2012","7225.4","7289.95","7225.4","7267.50"
"14 Jun 2012","7244.4","7267","7172.1","7206.30"
"13 Jun 2012","7273.1","7282.65","7218.25","7254.00"
"12 Jun 2012","7173.3","7289","7167.4","7270.80"
"11 Jun 2012","7307.65","7343.4","7200.1","7217.80"
"08 Jun 2012","7192.45","7274.7","7133.05","7255.00"
"07 Jun 2012","7224.25","7269.7","7210.3","7228.70"
"06 Jun 2012","7038.15","7193.85","7038.15","7181.00"
"05 Jun 2012","6993.6","7039.25","6983","7021.90"
"04 Jun 2012","6848.5","6980.35","6816.35","6960.50"
"01 Jun 2012","7063.6","7075.5","6866.1","6915.10"
"31 May 2012","6996.05","7170.5","6954.2","7073.50"
"30 May 2012","7090.15","7105.55","7052.15","7066.90"
"29 May 2012","7083.75","7118.4","7056.95","7087.50"
"28 May 2012","7014.1","7075.4","7014.1","7062.50"
"25 May 2012","6991.25","7034.7","6948.15","7010.40"
"24 May 2012","6998.2","7044.35","6937.3","7016.20"
"23 May 2012","6882.5","6907.95","6837.6","6894.20"
"22 May 2012","7065.65","7065.65","6910.05","6923.20"
"21 May 2012","6929","7039.45","6929","6993.30"
"18 May 2012","6830.55","6979.8","6830.55","6949.10"
"17 May 2012","6898.15","6960.4","6866.35","6905.70"
"16 May 2012","6856.3","6919.9","6847.25","6875.80"
"15 May 2012","6879.5","6953.4","6866.15","6915.20"
"14 May 2012","6998.75","7019","6881.85","6911.30"
"11 May 2012","7035.5","7062.75","6992.8","7006.00"
"10 May 2012","7055.55","7152.35","7029.85","7058.30"
"09 May 2012","7102.25","7112.65","7020.55","7044.60"
"08 May 2012","7254.75","7268.15","7138.55","7153.10"
"07 May 2012","7167.35","7241.85","7108.7","7225.20"
"04 May 2012","7340.3","7387.05","7236.4","7246.80"
"03 May 2012","7394.7","7412.85","7352.95","7376.80"
"02 May 2012","7505.55","7528.15","7417.7","7441.80"
"30 Apr 2012","7388.85","7514.55","7388.85","7503.30"
"28 Apr 2012","7409.9","7419.6","7392.45","7411.40"
"27 Apr 2012","7405.35","7457.45","7360","7402.70"
"26 Apr 2012","7463.35","7463.35","7379.75","7409.70"
"25 Apr 2012","7487.1","7522.95","7396.55","7442.50"
"24 Apr 2012","7477.5","7494.75","7395.15","7482.40"
"23 Apr 2012","7468","7563.9","7443.3","7470.10"
"20 Apr 2012","7596.3","7596.3","7457.9","7499.70"
"19 Apr 2012","7665.7","7668.2","7580.65","7602.30"
"18 Apr 2012","7602.6","7690.4","7602.6","7632.30"
"17 Apr 2012","7541.55","7589.55","7463.55","7579.10"
"16 Apr 2012","7497.7","7530.55","7439.05","7501.40"
"13 Apr 2012","7517.9","7624.85","7465.6","7528.60"
"12 Apr 2012","7473.1","7517.55","7473.1","7491.50"
"11 Apr 2012","7454.5","7497.15","7406.55","7439.40"
"10 Apr 2012","7525.6","7530.05","7433","7499.60"
"09 Apr 2012","7562.75","7574.25","7495.55","7505.50"
"04 Apr 2012","7631.3","7687.55","7599.1","7620.30"
