"Date","Open","High","Low","Close"
"31 Dec 2012","15200.85","15252.1","15149.5","15175.00"
"28 Dec 2012","15152.55","15258.7","15152.55","15237.00"
"27 Dec 2012","15370.15","15381.25","15142.9","15178.00"
"26 Dec 2012","15221.8","15325.6","15165.5","15305.00"
"24 Dec 2012","15264.95","15309.75","15208.45","15222.00"
"21 Dec 2012","15231.15","15276.35","15088.05","15193.00"
"20 Dec 2012","15255.85","15321.8","15183.45","15282.00"
"19 Dec 2012","15316.85","15396.75","15220.3","15264.00"
"18 Dec 2012","15304.2","15414.55","15181.6","15334.00"
"17 Dec 2012","15308.15","15374.4","15245.15","15283.00"
"14 Dec 2012","15282.9","15414.15","15201.45","15368.00"
"13 Dec 2012","15744.75","15744.75","15333.55","15355.00"
"12 Dec 2012","15802.25","15875.05","15721.85","15778.00"
"11 Dec 2012","15675.25","15890.6","15663.55","15795.00"
"10 Dec 2012","15587.25","15700.75","15562.05","15679.00"
"07 Dec 2012","15608.25","15689.85","15546.55","15610.00"
"06 Dec 2012","15572.3","15669.65","15419.75","15635.00"
"05 Dec 2012","15517.9","15634.8","15515","15550.00"
"04 Dec 2012","15472.75","15557.4","15434.85","15530.00"
"03 Dec 2012","15537.95","15578.65","15454.2","15514.00"
"30 Nov 2012","15533.15","15611.9","15415.75","15551.00"
"29 Nov 2012","15404.25","15622","15404.25","15586.00"
"27 Nov 2012","15092.25","15445.2","15092.25","15417.00"
"26 Nov 2012","14946.9","15115.8","14946.9","15091.00"
"23 Nov 2012","14915.95","14941","14771.55","14915.00"
"22 Nov 2012","14857.15","14917.45","14765.55","14905.00"
"21 Nov 2012","14611.8","14848.1","14570.6","14821.00"
"20 Nov 2012","14702.15","14775.95","14558.9","14620.00"
"19 Nov 2012","14493.4","14662.65","14423.85","14644.00"
"16 Nov 2012","14736.45","14831.8","14463.7","14510.00"
"15 Nov 2012","14877.05","14877.05","14684.6","14713.00"
"13 Nov 2012","14896.55","14906.35","14824.75","14893.00"
"12 Nov 2012","14731.75","14927.85","14731.75","14838.00"
"09 Nov 2012","14750","14864.15","14693.05","14744.00"
"08 Nov 2012","14685.7","14853.7","14680.65","14782.00"
"07 Nov 2012","14703.6","14776.25","14624.5","14753.00"
"06 Nov 2012","14663.85","14764.1","14613.6","14687.00"
"05 Nov 2012","14544.4","14683.4","14512.45","14670.00"
"02 Nov 2012","14497.6","14615.7","14468.85","14502.00"
"01 Nov 2012","14460.2","14484.75","14330.25","14414.00"
"31 Oct 2012","14572.35","14595.85","14459.6","14523.00"
"30 Oct 2012","14580.15","14680.6","14523.45","14550.00"
"29 Oct 2012","14635.5","14741.2","14491.8","14613.00"
"26 Oct 2012","14890.4","14929.65","14603.9","14643.00"
"25 Oct 2012","14930.3","14984.5","14809.2","14913.00"
"23 Oct 2012","15032.55","15032.55","14846.5","14890.00"
"22 Oct 2012","15078","15078","14880.85","15006.00"
"19 Oct 2012","14931.35","15106.8","14865.4","15063.00"
"18 Oct 2012","14853.1","14960.7","14773.85","14945.00"
"17 Oct 2012","14791.7","14877.75","14750.2","14844.00"
"16 Oct 2012","14757.95","14881.65","14687.05","14793.00"
"15 Oct 2012","14698.95","14833.05","14605.45","14807.00"
"12 Oct 2012","14743.4","14782.45","14650.05","14710.00"
"11 Oct 2012","14532.95","14730.15","14440.9","14694.00"
"10 Oct 2012","14550","14614.05","14495.2","14572.00"
"09 Oct 2012","14445.85","14590.9","14445.85","14575.00"
"08 Oct 2012","14408.1","14501.4","14362.75","14418.00"
"05 Oct 2012","14396.05","14541.9","13980.05","14419.00"
"04 Oct 2012","14204.4","14385.3","14204.4","14343.00"
"03 Oct 2012","14171.4","14238.8","14113.05","14197.00"
"01 Oct 2012","14095.35","14206.05","14095.35","14167.00"
"28 Sep 2012","13930.35","14162.95","13930.35","14136.00"
"27 Sep 2012","13745.65","13983.2","13725.45","13940.00"
"26 Sep 2012","13671.2","13787.75","13631","13720.00"
"25 Sep 2012","13372.05","13671.6","13338.15","13620.00"
"24 Sep 2012","13573.95","13625.95","13297","13370.00"
"21 Sep 2012","13431.95","13672","13425.1","13575.00"
"20 Sep 2012","13327.5","13472.9","13312.3","13368.00"
"18 Sep 2012","13337.55","13453.7","13219.25","13350.00"
"17 Sep 2012","13897.45","13921.75","13267.25","13329.00"
"14 Sep 2012","14000.35","14042.55","13814.95","13857.00"
"13 Sep 2012","13818.1","13931.85","13805.95","13918.00"
"12 Sep 2012","13762.9","13847.55","13746.15","13827.00"
"11 Sep 2012","13688.1","13769.35","13658.7","13738.00"
"10 Sep 2012","13729.1","13753.7","13650.55","13693.00"
"08 Sep 2012","13650.3","13718","13650.3","13708.00"
"07 Sep 2012","13653.35","13681.6","13585.9","13660.00"
"06 Sep 2012","13774.4","13783.15","13535.65","13557.00"
"05 Sep 2012","13673.3","13834.45","13673.3","13794.00"
"04 Sep 2012","13650.65","13771.95","13650.65","13703.00"
"03 Sep 2012","13694.95","13730.4","13615.95","13670.00"
"31 Aug 2012","13772.4","13775.7","13589.65","13641.00"
"30 Aug 2012","13667.25","13905.9","13622.8","13793.00"
"29 Aug 2012","13641.5","13718.2","13591.45","13698.00"
