"Date","Open","High","Low","Close"
"31 Dec 2012","1757","1774.15","1753.35","1768.00"
"28 Dec 2012","1758.4","1774.5","1742.35","1754.40"
"27 Dec 2012","1789.85","1807.1","1745.4","1751.80"
"26 Dec 2012","1791.85","1794.45","1781.7","1788.00"
"24 Dec 2012","1754.6","1790.15","1754.6","1787.60"
"21 Dec 2012","1774.35","1799.55","1748.25","1752.20"
"20 Dec 2012","1777.7","1794.7","1769.35","1788.90"
"19 Dec 2012","1794.8","1796.1","1772.85","1777.50"
"18 Dec 2012","1730.9","1789.4","1729.6","1783.20"
"17 Dec 2012","1714.25","1732.45","1703.75","1728.30"
"14 Dec 2012","1701.35","1718","1690.2","1711.50"
"13 Dec 2012","1707.7","1735.5","1698.75","1704.60"
"12 Dec 2012","1690.45","1709.4","1690.45","1706.50"
"11 Dec 2012","1724.1","1737.55","1678.65","1694.90"
"10 Dec 2012","1744","1757.9","1718.4","1727.00"
"07 Dec 2012","1774.6","1776.85","1735.05","1743.00"
"06 Dec 2012","1746.6","1767.2","1739.55","1764.10"
"05 Dec 2012","1746.85","1761.25","1742.75","1746.40"
"04 Dec 2012","1701.75","1742.9","1701.05","1735.20"
"03 Dec 2012","1683.3","1705.7","1674.65","1702.60"
"30 Nov 2012","1701","1705.2","1674.55","1682.80"
"29 Nov 2012","1662.35","1707.9","1660.2","1696.70"
"27 Nov 2012","1667.6","1682.45","1667.6","1676.30"
"26 Nov 2012","1656.85","1681.8","1656.85","1665.50"
"23 Nov 2012","1623.35","1656.9","1613.75","1650.40"
"22 Nov 2012","1607.6","1627.05","1607.6","1618.60"
"21 Nov 2012","1579.75","1609.2","1568.1","1604.30"
"20 Nov 2012","1600.1","1606.7","1566.9","1578.00"
"19 Nov 2012","1606.85","1621.1","1584.55","1593.70"
"16 Nov 2012","1643.1","1659","1595.55","1603.20"
"15 Nov 2012","1568","1646.3","1560.5","1638.90"
"13 Nov 2012","1549.4","1574.25","1549.4","1571.40"
"12 Nov 2012","1547.5","1560.1","1537.1","1544.40"
"09 Nov 2012","1582.45","1592.35","1542.65","1548.20"
"08 Nov 2012","1571.65","1597.9","1566.25","1584.20"
"07 Nov 2012","1572.35","1598.1","1571.05","1592.00"
"06 Nov 2012","1570.45","1586.5","1566.05","1578.00"
"05 Nov 2012","1559.2","1578.7","1553.9","1572.60"
"02 Nov 2012","1544.55","1575","1544.55","1559.70"
"01 Nov 2012","1543.8","1543.8","1533.7","1539.30"
"31 Oct 2012","1497.6","1546.5","1489.35","1542.70"
"30 Oct 2012","1480.35","1485.35","1453.9","1484.00"
"29 Oct 2012","1497.65","1512.05","1472.65","1479.80"
"26 Oct 2012","1539","1546.15","1500.3","1507.20"
"25 Oct 2012","1563.75","1568.1","1540.4","1557.30"
"23 Oct 2012","1565.9","1576.4","1560.45","1564.50"
"22 Oct 2012","1595.65","1595.65","1565.6","1570.80"
"19 Oct 2012","1616.8","1616.8","1578.95","1596.40"
"18 Oct 2012","1611.2","1622.3","1597.5","1603.90"
"17 Oct 2012","1552.45","1603","1547","1595.00"
"16 Oct 2012","1541.55","1572.3","1540.5","1551.60"
"15 Oct 2012","1550.2","1562.75","1525.9","1538.50"
"12 Oct 2012","1537.35","1570.8","1530.9","1546.30"
"11 Oct 2012","1539.7","1542.1","1508.15","1536.20"
"10 Oct 2012","1566.9","1573.2","1523.45","1525.90"
"09 Oct 2012","1567.8","1587.95","1559.35","1567.40"
"08 Oct 2012","1597.15","1603.85","1565.35","1570.10"
"05 Oct 2012","1635.5","1635.5","1582.7","1594.80"
"04 Oct 2012","1587.5","1635.3","1587.5","1626.40"
"03 Oct 2012","1593.05","1594.9","1566.5","1584.30"
"01 Oct 2012","1565.1","1589.6","1565.1","1581.10"
"28 Sep 2012","1514.3","1588.25","1514.3","1559.90"
"27 Sep 2012","1476.25","1514.85","1475.5","1503.50"
"26 Sep 2012","1463.9","1491","1461","1467.60"
"25 Sep 2012","1458.55","1477.75","1458.25","1463.90"
"24 Sep 2012","1456.5","1479.8","1453.45","1456.50"
"21 Sep 2012","1493.1","1493.1","1454.45","1465.00"
"20 Sep 2012","1464.55","1490.4","1449.65","1468.80"
"18 Sep 2012","1448.4","1475.6","1439.75","1469.50"
"17 Sep 2012","1440.5","1451.5","1425.75","1445.10"
"14 Sep 2012","1393.3","1421.1","1393.3","1410.80"
"13 Sep 2012","1397.65","1413.3","1389.3","1393.50"
"12 Sep 2012","1377.45","1398.8","1377.25","1387.80"
"11 Sep 2012","1386.2","1387.65","1373.1","1375.40"
"10 Sep 2012","1400.4","1402.05","1383.9","1387.10"
"08 Sep 2012","1387.75","1402.1","1386.75","1400.10"
"07 Sep 2012","1394.85","1404","1382.45","1387.50"
"06 Sep 2012","1368.8","1397.15","1363.25","1388.00"
"05 Sep 2012","1351.6","1368.05","1348.35","1366.20"
"04 Sep 2012","1310.65","1353.65","1309.45","1351.50"
"03 Sep 2012","1310.35","1320.55","1299.15","1307.10"
"31 Aug 2012","1322","1325.75","1306.55","1310.30"
"30 Aug 2012","1306.15","1326.35","1300.4","1321.90"
"29 Aug 2012","1322.25","1324.3","1302.9","1306.00"
"28 Aug 2012","1340.6","1345.45","1308.6","1319.40"
"27 Aug 2012","1337.95","1350.45","1335.7","1338.70"
"24 Aug 2012","1342.05","1353.95","1335.25","1337.90"
"23 Aug 2012","1362.55","1369.95","1349.35","1351.80"
"22 Aug 2012","1373.9","1373.9","1358.85","1361.40"
"21 Aug 2012","1366.75","1383.1","1351.85","1374.10"
"17 Aug 2012","1382.45","1386.5","1354.3","1361.60"
"16 Aug 2012","1373.45","1388.4","1372.1","1377.50"
"14 Aug 2012","1364","1380.3","1360.05","1373.00"
"13 Aug 2012","1352.8","1364.7","1345.2","1360.80"
"10 Aug 2012","1333.5","1355.85","1333.5","1350.90"
"09 Aug 2012","1343.85","1343.85","1321.8","1333.40"
"08 Aug 2012","1360","1363.75","1326.1","1330.60"
"07 Aug 2012","1323.35","1360","1323.35","1352.90"
"06 Aug 2012","1315.05","1332.6","1315.05","1321.20"
"03 Aug 2012","1332.1","1332.1","1309.7","1314.10"
"02 Aug 2012","1327.5","1339.35","1323.7","1333.30"
"01 Aug 2012","1325","1335.85","1317.2","1326.80"
"31 Jul 2012","1289.1","1329","1289.1","1325.30"
"30 Jul 2012","1278.95","1303.7","1278.95","1289.60"
"27 Jul 2012","1300.3","1307.6","1279.2","1283.60"
"26 Jul 2012","1321.95","1330.85","1292.6","1314.50"
"25 Jul 2012","1301.1","1327.45","1294.85","1318.30"
"24 Jul 2012","1295.35","1301.65","1289.4","1296.50"
"23 Jul 2012","1293.1","1304.05","1279.4","1290.20"
"20 Jul 2012","1287.95","1301.2","1280.3","1293.20"
"19 Jul 2012","1283.5","1291.85","1278.05","1286.30"
"18 Jul 2012","1271.15","1280.9","1264.7","1278.50"
"17 Jul 2012","1280.15","1284.4","1271","1272.30"
"16 Jul 2012","1281.5","1289.45","1274.15","1278.30"
"13 Jul 2012","1272.5","1296.05","1272.5","1281.30"
"12 Jul 2012","1276.85","1281.8","1259.7","1272.00"
"11 Jul 2012","1276","1290.05","1271.25","1279.50"
"10 Jul 2012","1291.75","1299.4","1277.3","1279.80"
"09 Jul 2012","1307.45","1307.45","1277.55","1290.90"
"06 Jul 2012","1312.7","1315.5","1299.1","1307.40"
"05 Jul 2012","1299.55","1319.75","1292.1","1312.20"
"04 Jul 2012","1292.5","1306.35","1291.45","1305.20"
"03 Jul 2012","1282.35","1298.55","1282.35","1292.10"
"02 Jul 2012","1267.5","1288.75","1263.15","1281.00"
"29 Jun 2012","1246.45","1274.75","1239.8","1267.20"
"28 Jun 2012","1255.45","1255.45","1225.05","1234.30"
"27 Jun 2012","1231.95","1245.35","1231.85","1242.00"
"26 Jun 2012","1205.85","1230.2","1205.85","1224.00"
"25 Jun 2012","1195.25","1218.8","1195","1203.10"
"22 Jun 2012","1192.3","1199.5","1181.3","1194.80"
"21 Jun 2012","1180.55","1196","1175.9","1195.00"
"20 Jun 2012","1178.35","1190.05","1178.35","1187.80"
"19 Jun 2012","1156.1","1186.95","1155.5","1176.30"
"18 Jun 2012","1183.9","1187.9","1171","1173.50"
"15 Jun 2012","1175.55","1185.5","1175.55","1181.20"
"14 Jun 2012","1173.05","1190.65","1171.3","1173.20"
"13 Jun 2012","1184.1","1195.7","1166.65","1170.70"
"12 Jun 2012","1177.3","1191.4","1170.4","1183.30"
"11 Jun 2012","1194.95","1194.95","1174.55","1177.30"
"08 Jun 2012","1176.35","1188.1","1163.3","1181.50"
"07 Jun 2012","1148.15","1180.85","1148.15","1172.80"
"06 Jun 2012","1119.9","1151.35","1116.6","1145.60"
"05 Jun 2012","1113.55","1128.4","1113.55","1116.90"
"04 Jun 2012","1107.8","1116.45","1098.45","1108.30"
"01 Jun 2012","1151.6","1151.6","1111.95","1113.90"
"31 May 2012","1126.95","1162.45","1126.95","1151.80"
"30 May 2012","1135.05","1149.1","1133","1138.90"
"29 May 2012","1141.35","1149.2","1136.2","1138.50"
"28 May 2012","1140.35","1150.45","1136.85","1141.70"
"25 May 2012","1134.35","1142.2","1130.4","1137.70"
"24 May 2012","1128.7","1138.7","1128.65","1134.20"
"23 May 2012","1130.7","1135.85","1122.05","1128.20"
