"Date","Open","High","Low","Close"
"31 Dec 2012","2890.7","2908.45","2886.35","2900.20"
"28 Dec 2012","2890.1","2908.1","2870.35","2889.30"
"27 Dec 2012","2907.55","2914.55","2874.45","2880.30"
"26 Dec 2012","2885.6","2916.85","2885.6","2896.60"
"24 Dec 2012","2896.15","2913.5","2874.05","2881.40"
"21 Dec 2012","2924.8","2944.4","2885.15","2894.80"
"20 Dec 2012","2900","2950.65","2872.9","2941.00"
"19 Dec 2012","2866.6","2908.5","2866.6","2904.10"
"18 Dec 2012","2802.7","2860.55","2773.95","2856.70"
"17 Dec 2012","2754.05","2800.05","2753.8","2795.90"
"14 Dec 2012","2704.5","2761.3","2703.8","2755.50"
"13 Dec 2012","2737.8","2745.8","2698.75","2704.30"
"12 Dec 2012","2759.9","2768.35","2729.9","2734.90"
"11 Dec 2012","2778.35","2794.25","2732.55","2752.00"
"10 Dec 2012","2767.5","2776.3","2756.25","2771.00"
"07 Dec 2012","2793.9","2802.15","2755.95","2765.10"
"06 Dec 2012","2775.15","2785.55","2735.95","2778.00"
"05 Dec 2012","2743.75","2772.1","2738.5","2763.10"
"04 Dec 2012","2730.55","2742.45","2712.45","2726.40"
"03 Dec 2012","2717.1","2748.8","2714.45","2728.40"
"30 Nov 2012","2663.9","2715.2","2663.9","2711.30"
"29 Nov 2012","2642","2670.4","2639.05","2657.20"
"27 Nov 2012","2609.75","2648.7","2608.4","2637.50"
"26 Nov 2012","2585.55","2617.1","2585.55","2600.30"
"23 Nov 2012","2583.9","2589.85","2566.6","2582.70"
"22 Nov 2012","2580.55","2594.5","2563","2585.10"
"21 Nov 2012","2558.2","2574.55","2540.8","2567.80"
"20 Nov 2012","2583.6","2590.6","2535.75","2549.50"
"19 Nov 2012","2588.55","2600.4","2559.85","2568.80"
"16 Nov 2012","2603.1","2628.1","2582.1","2588.00"
"15 Nov 2012","2630.3","2631.25","2592.45","2601.50"
"13 Nov 2012","2640.8","2647.9","2637.65","2642.00"
"12 Nov 2012","2645.15","2648.85","2625.9","2633.70"
"09 Nov 2012","2694.8","2710","2644","2653.00"
"08 Nov 2012","2672.15","2697.65","2663.35","2691.30"
"07 Nov 2012","2672.85","2712.7","2672.85","2690.10"
"06 Nov 2012","2674.8","2688.8","2661.75","2681.50"
"05 Nov 2012","2696.75","2704.05","2675.45","2684.10"
"02 Nov 2012","2700.55","2724.95","2692.85","2707.00"
"01 Nov 2012","2664.65","2697.3","2657.25","2690.00"
"31 Oct 2012","2632.65","2670.45","2619.25","2665.70"
"30 Oct 2012","2673.2","2682.7","2631.3","2636.10"
"29 Oct 2012","2681.45","2703.85","2667","2676.50"
"26 Oct 2012","2672.85","2682.55","2662.35","2678.00"
"25 Oct 2012","2705.85","2715.4","2683.2","2685.60"
"23 Oct 2012","2716.05","2729.35","2696.85","2700.50"
"22 Oct 2012","2705.95","2728.4","2698.75","2723.30"
"19 Oct 2012","2746.1","2755.05","2710.85","2720.80"
"18 Oct 2012","2734.15","2761.9","2718.65","2757.20"
"17 Oct 2012","2757.1","2757.8","2719.75","2726.90"
"16 Oct 2012","2794.35","2799.55","2731.6","2738.70"
"15 Oct 2012","2781.1","2793.8","2768.45","2786.10"
"12 Oct 2012","2787.4","2819.3","2779.1","2787.50"
"11 Oct 2012","2756.35","2795.3","2736.95","2787.60"
"10 Oct 2012","2755.85","2779.85","2738.7","2743.20"
"09 Oct 2012","2777.75","2804.6","2755.35","2768.70"
"08 Oct 2012","2788.8","2806.55","2753.6","2759.70"
"05 Oct 2012","2807.5","2817.6","2466.6","2790.70"
"04 Oct 2012","2797.65","2815.25","2786.1","2790.70"
"03 Oct 2012","2779.7","2791.65","2770.45","2787.20"
"01 Oct 2012","2776.7","2784.9","2741.75","2777.10"
"28 Sep 2012","2761.05","2810.35","2761.05","2768.40"
"27 Sep 2012","2751.1","2768.85","2729.75","2734.20"
"26 Sep 2012","2770","2789.75","2744","2752.50"
"25 Sep 2012","2828.4","2843.35","2779.8","2788.50"
"24 Sep 2012","2817.1","2876.7","2811.75","2827.70"
"21 Sep 2012","2718.75","2824.55","2715.45","2817.70"
"20 Sep 2012","2738.35","2761.85","2703.85","2708.70"
"18 Sep 2012","2764.45","2777.85","2751.75","2771.80"
"17 Sep 2012","2768.3","2795.95","2738.75","2775.50"
"14 Sep 2012","2685.65","2748.75","2685.65","2740.90"
"13 Sep 2012","2632.8","2639.85","2611.05","2628.50"
"12 Sep 2012","2593.9","2637.15","2571.75","2633.10"
"11 Sep 2012","2587.25","2587.95","2566.2","2582.40"
"10 Sep 2012","2594.7","2631.4","2594.7","2618.70"
"08 Sep 2012","2578.2","2605.45","2578.2","2600.00"
"07 Sep 2012","2550.5","2578.35","2550.5","2575.70"
"06 Sep 2012","2500.5","2526","2497.25","2508.60"
"05 Sep 2012","2538.4","2542.25","2487.95","2497.60"
"04 Sep 2012","2546.45","2565.45","2528.7","2561.00"
"03 Sep 2012","2570.1","2582.9","2534.7","2544.00"
"31 Aug 2012","2583.05","2586.55","2533.1","2554.80"
"30 Aug 2012","2589.8","2601.25","2567.75","2590.00"
"29 Aug 2012","2645.5","2649.9","2595.15","2600.90"
"28 Aug 2012","2727.1","2728.05","2619.45","2647.00"
"27 Aug 2012","2767.75","2772.35","2719.95","2722.90"
"24 Aug 2012","2755.85","2771.2","2740.2","2760.40"
"23 Aug 2012","2768.35","2799.6","2751.55","2771.80"
"22 Aug 2012","2751.3","2771.85","2748.1","2756.60"
"21 Aug 2012","2736.55","2766.6","2713.2","2762.60"
"17 Aug 2012","2783.3","2797.05","2737.3","2741.20"
"16 Aug 2012","2812.6","2821","2778.85","2786.00"
"14 Aug 2012","2787.45","2833.05","2787.1","2822.40"
"13 Aug 2012","2808.45","2808.6","2777.3","2797.70"
"10 Aug 2012","2785.6","2813.35","2777.7","2797.00"
"09 Aug 2012","2782.25","2813.95","2777.3","2796.20"
"08 Aug 2012","2767.85","2811.4","2767.85","2779.70"
"07 Aug 2012","2746.45","2771.9","2740.85","2759.10"
"06 Aug 2012","2745","2767.45","2735.65","2743.80"
"03 Aug 2012","2735.05","2735.05","2682.1","2714.40"
"02 Aug 2012","2755.9","2763.55","2740.2","2757.20"
"01 Aug 2012","2777.9","2793.7","2751.1","2762.80"
"31 Jul 2012","2766.6","2791.3","2719.9","2783.10"
"30 Jul 2012","2727.4","2763.9","2720.3","2760.20"
"27 Jul 2012","2696.3","2739.45","2691.3","2708.20"
"26 Jul 2012","2699.65","2702","2638","2651.90"
"25 Jul 2012","2725.5","2726.45","2675.25","2687.70"
"24 Jul 2012","2739.55","2758.1","2731.9","2745.20"
"23 Jul 2012","2809.4","2809.4","2734.15","2740.50"
"20 Jul 2012","2822.35","2848.45","2811.1","2834.40"
"19 Jul 2012","2833.55","2845.25","2825.75","2832.30"
"18 Jul 2012","2769.05","2816.15","2767.45","2808.40"
"17 Jul 2012","2782.05","2799.05","2760.35","2767.40"
"16 Jul 2012","2820.2","2825.3","2765.55","2770.10"
"13 Jul 2012","2873.15","2886.95","2828.3","2831.70"
"12 Jul 2012","2883.2","2889","2859.65","2864.60"
"11 Jul 2012","2911.15","2935.05","2893.25","2898.00"
"10 Jul 2012","2885.9","2930.7","2885.9","2926.40"
"09 Jul 2012","2897.7","2900.9","2862.3","2882.30"
"06 Jul 2012","2951","2951","2907.45","2924.90"
"05 Jul 2012","2969.45","2980.85","2948.5","2956.10"
"04 Jul 2012","2916.35","2978.9","2916.35","2965.60"
"03 Jul 2012","2887.75","2917.05","2879.9","2905.80"
"02 Jul 2012","2882.8","2911.15","2856.5","2882.90"
"29 Jun 2012","2805","2875.1","2805","2870.30"
"28 Jun 2012","2781.15","2791.05","2760.6","2776.50"
"27 Jun 2012","2743.35","2777.65","2741.75","2772.40"
"26 Jun 2012","2728.25","2740.55","2709.8","2726.90"
"25 Jun 2012","2766.85","2792.45","2726.45","2736.00"
"22 Jun 2012","2771.25","2781.8","2734.4","2755.90"
"21 Jun 2012","2762.5","2805.05","2754.9","2798.80"
"20 Jun 2012","2767.2","2788.85","2745.25","2778.20"
"19 Jun 2012","2745.15","2770.85","2719.85","2748.30"
"18 Jun 2012","2799.3","2822.85","2736.4","2750.70"
"15 Jun 2012","2751.1","2781.05","2750.35","2775.80"
"14 Jun 2012","2767.6","2783","2731.05","2737.40"
"13 Jun 2012","2785.75","2796.55","2761.9","2770.00"
"12 Jun 2012","2729.15","2788.65","2725.25","2780.20"
"11 Jun 2012","2782.6","2809.8","2734.1","2749.60"
"08 Jun 2012","2749.75","2762.1","2714.65","2752.00"
"07 Jun 2012","2732.2","2748.35","2715.75","2739.60"
"06 Jun 2012","2646.1","2708.85","2646.1","2705.60"
"05 Jun 2012","2649.15","2677.2","2620.4","2626.80"
"04 Jun 2012","2630.8","2642.85","2594.6","2635.50"
"01 Jun 2012","2689","2701.3","2644.8","2654.60"
"31 May 2012","2688.25","2714.85","2687.5","2698.50"
"30 May 2012","2713.6","2732.1","2699.8","2706.10"
"29 May 2012","2731.3","2752.75","2718.15","2731.60"
"28 May 2012","2690.6","2722.6","2690.6","2716.70"
"25 May 2012","2656.15","2704.7","2652.15","2690.50"
"24 May 2012","2644.95","2675.65","2610.9","2667.70"
"23 May 2012","2641","2653.45","2616.1","2630.90"
"22 May 2012","2728.4","2742.9","2644.6","2654.50"
"21 May 2012","2674.9","2723.8","2674.9","2704.80"
"18 May 2012","2630.1","2694.35","2616.4","2687.20"
"17 May 2012","2676","2714","2654.85","2675.80"
"16 May 2012","2695.7","2698.05","2658.35","2665.30"
"15 May 2012","2664.55","2748.1","2664.55","2741.20"
"14 May 2012","2702.55","2735.3","2653.75","2686.60"
"11 May 2012","2714.8","2742.85","2682.95","2700.90"
"10 May 2012","2769.15","2809.95","2728.3","2733.50"
"09 May 2012","2798.05","2820.4","2756.35","2767.50"
"08 May 2012","2880.2","2894.05","2807.9","2825.20"
"07 May 2012","2788.35","2881.15","2762.2","2871.80"
"04 May 2012","2890.65","2891.75","2813.8","2828.50"
"03 May 2012","2941.65","2945.65","2888.8","2902.10"
"02 May 2012","2974.8","2998.55","2947.75","2957.00"
"30 Apr 2012","2941.85","2981.55","2935.65","2970.20"
"28 Apr 2012","2932.95","2949.3","2926.95","2943.10"
"27 Apr 2012","2950.8","2972.45","2892.75","2922.80"
"26 Apr 2012","2965.9","2982.1","2939.1","2947.90"
"25 Apr 2012","2967.4","2994.65","2919.2","2949.80"
"24 Apr 2012","2948.3","2972.2","2920.65","2962.40"
"23 Apr 2012","3019.15","3045.85","2926.3","2941.00"
"20 Apr 2012","3044.7","3077","3002.35","3033.20"
"19 Apr 2012","3048.55","3069","3022","3060.40"
"18 Apr 2012","3028.5","3064.2","3028.5","3038.60"
"17 Apr 2012","2972.7","3014.25","2962.7","3010.30"
"16 Apr 2012","2924.55","2959.3","2916","2952.80"
"13 Apr 2012","2984.7","3005.25","2935.05","2945.50"
"12 Apr 2012","2912.4","2966.6","2908.3","2959.70"
"11 Apr 2012","2899.8","2925.65","2872.35","2886.40"
"10 Apr 2012","2964.4","2964.4","2906.2","2926.60"
"09 Apr 2012","3035.2","3035.2","2944.5","2954.20"
"04 Apr 2012","3064.5","3077.7","3042.1","3059.80"
"03 Apr 2012","3064.45","3107.05","3064.45","3092.10"
"02 Apr 2012","3047.25","3073.7","3033.95","3042.20"
"30 Mar 2012","2983.65","3063.7","2983.65","3054.70"
"29 Mar 2012","2937.9","2990.7","2926.25","2974.20"
"28 Mar 2012","2989","2989","2950.5","2967.10"
"27 Mar 2012","2996.95","3011.1","2954.9","2996.30"
"26 Mar 2012","3022.05","3034.35","2933.1","2954.20"
"23 Mar 2012","3038.2","3072.9","2984.95","3018.40"
"22 Mar 2012","3135.2","3143.1","3024.65","3033.90"
"21 Mar 2012","3077.4","3153.15","3048.35","3141.90"
"20 Mar 2012","3079.15","3123.75","3063.65","3083.70"
"19 Mar 2012","3102.9","3141.9","3066.95","3082.50"
"16 Mar 2012","3174.3","3213.7","3095.3","3106.40"
"15 Mar 2012","3199.9","3199.9","3145","3170.80"
"14 Mar 2012","3257.6","3270.75","3205.05","3212.10"
"13 Mar 2012","3144.4","3236.35","3144.4","3213.90"
"12 Mar 2012","3132.75","3144.6","3074.8","3121.90"
"09 Mar 2012","2988.9","3099.05","2988.9","3090.50"
"07 Mar 2012","2966.95","2986.9","2902.65","2939.10"
"06 Mar 2012","3093.9","3159.65","2968.1","2981.10"
"05 Mar 2012","3192.45","3192.75","3102.45","3107.70"
"03 Mar 2012","3209.45","3219.9","3207.8","3211.50"
"02 Mar 2012","3228.35","3257.25","3194.9","3210.10"
"01 Mar 2012","3222.85","3235.5","3175.3","3205.70"
"29 Feb 2012","3224.4","3261.25","3170.3","3236.60"
"28 Feb 2012","3098.95","3198.6","3098.95","3189.40"
"27 Feb 2012","3266.8","3266.8","3071.15","3083.20"
"24 Feb 2012","3225.8","3269.65","3211","3247.10"
"23 Feb 2012","3246.15","3256","3180.9","3211.70"
"22 Feb 2012","3411.45","3431.1","3236.4","3248.40"
