"Date","Open","High","Low","Close"
"31 Dec 2012","8468.6","8509.8","8468.6","8505.10"
"28 Dec 2012","8396.1","8475.4","8396.1","8468.40"
"27 Dec 2012","8423.4","8460.65","8385.9","8395.50"
"26 Dec 2012","8359.35","8442.25","8359.35","8422.80"
"24 Dec 2012","8334.75","8381.7","8332","8358.50"
"21 Dec 2012","8469.9","8469.9","8325.2","8334.40"
"20 Dec 2012","8480.3","8501.8","8439.5","8471.60"
"19 Dec 2012","8429.6","8490.55","8429.6","8480.70"
"18 Dec 2012","8383.45","8432.8","8324.25","8426.70"
"17 Dec 2012","8362.1","8404.15","8361.75","8382.70"
"14 Dec 2012","8293.8","8368.05","8282.8","8361.70"
"13 Dec 2012","8371.1","8437.95","8281.4","8293.00"
"12 Dec 2012","8361.1","8403.65","8332.45","8370.70"
"11 Dec 2012","8437.5","8496.45","8297.4","8360.20"
"10 Dec 2012","8377.5","8443.3","8377.5","8436.20"
"07 Dec 2012","8378.8","8443.6","8349.25","8376.30"
"06 Dec 2012","8306.8","8382.15","8276.6","8378.10"
"05 Dec 2012","8291.6","8351.8","8291.6","8305.10"
"04 Dec 2012","8229.35","8308.05","8225.3","8290.90"
"03 Dec 2012","8141.3","8234.9","8141.3","8228.60"
"30 Nov 2012","8042.6","8157.95","8042.6","8139.80"
"29 Nov 2012","7949","8054.65","7949","8040.10"
"27 Nov 2012","7853.9","7963.6","7853.9","7947.70"
"26 Nov 2012","7787.75","7864.3","7787.75","7853.50"
"23 Nov 2012","7785.25","7825.25","7763.55","7787.20"
"22 Nov 2012","7757.25","7820.1","7750.45","7785.40"
"21 Nov 2012","7714.65","7763.95","7683.85","7756.60"
"20 Nov 2012","7777.5","7822.35","7685.85","7713.80"
"19 Nov 2012","7856.2","7893.85","7770.1","7775.10"
"16 Nov 2012","7939.4","7992.65","7831.2","7855.40"
"15 Nov 2012","7960.1","7960.1","7887.15","7939.80"
"13 Nov 2012","7909.5","7976.6","7909.5","7961.30"
"12 Nov 2012","7889.7","7928.05","7886.9","7909.30"
"09 Nov 2012","7967.3","8019.5","7881.55","7890.10"
"08 Nov 2012","7945.5","7969.85","7875.7","7966.70"
"07 Nov 2012","7870.85","7971.15","7870.85","7947.10"
"06 Nov 2012","7838.5","7875.7","7829.85","7869.10"
"05 Nov 2012","7875.35","7887.95","7827.5","7839.80"
"02 Nov 2012","7834","7902.85","7834","7876.10"
"01 Nov 2012","7763.8","7837.05","7757.95","7832.30"
"31 Oct 2012","7682.35","7769.7","7672.95","7763.00"
"30 Oct 2012","7767.15","7794","7658.95","7682.30"
"29 Oct 2012","7790.35","7830.15","7748.65","7766.50"
"26 Oct 2012","7880.7","7900.8","7766.9","7790.50"
"25 Oct 2012","7873.9","7901.3","7829.9","7882.20"
"23 Oct 2012","7909.25","7933.1","7866.85","7873.90"
"22 Oct 2012","7902.9","7926.55","7862.8","7909.20"
"19 Oct 2012","7944.3","7976","7877.95","7903.80"
"18 Oct 2012","7862.55","7947.65","7862.55","7945.30"
"17 Oct 2012","7860.95","7917.5","7827.3","7861.50"
"16 Oct 2012","7937.85","7984.55","7849.35","7859.30"
"15 Oct 2012","7921.45","7951.1","7913.1","7936.90"
"12 Oct 2012","7915.15","7991.8","7910.15","7921.50"
"11 Oct 2012","7814.8","7926.6","7780.4","7915.80"
"10 Oct 2012","7932.9","7932.9","7803.7","7814.50"
"09 Oct 2012","7887.55","7965.15","7887.55","7935.40"
"08 Oct 2012","7934.5","7980.95","7875.55","7885.90"
"05 Oct 2012","8012.75","8066.2","7856.85","7934.40"
"04 Oct 2012","7976.95","8069.1","7976.95","8007.60"
"03 Oct 2012","7918.4","7989.35","7918.4","7975.30"
"01 Oct 2012","7841","7919","7841","7916.80"
"28 Sep 2012","7746.55","7875.05","7746.55","7840.50"
"27 Sep 2012","7718.5","7780.25","7718.5","7744.70"
"26 Sep 2012","7687.3","7741.7","7656.7","7717.10"
"25 Sep 2012","7665.05","7720.65","7611.25","7688.90"
"24 Sep 2012","7651.05","7741.95","7651.05","7664.10"
"21 Sep 2012","7512.65","7679.6","7512.65","7650.30"
"20 Sep 2012","7562.45","7562.45","7470","7510.60"
"18 Sep 2012","7464.85","7570.05","7441.8","7563.50"
"17 Sep 2012","7341.7","7471.75","7341.7","7465.10"
"14 Sep 2012","7273.85","7371","7273.85","7340.00"
"13 Sep 2012","7296.7","7321.4","7262.75","7271.00"
"12 Sep 2012","7279.15","7322","7270","7296.20"
"11 Sep 2012","7253.8","7281.75","7244.65","7278.20"
"10 Sep 2012","7239.8","7272.5","7232.4","7254.50"
"08 Sep 2012","7202.85","7244.25","7202.85","7239.10"
"07 Sep 2012","7128.85","7218.45","7128.85","7203.10"
"06 Sep 2012","7097.95","7154.7","7093.85","7126.50"
"05 Sep 2012","7136.75","7144.85","7092.2","7098.60"
"04 Sep 2012","7074.5","7142.6","7074.5","7137.80"
"03 Sep 2012","7066.75","7114.45","7065.1","7074.10"
"31 Aug 2012","7071.6","7114.05","7034.45","7065.80"
"30 Aug 2012","7041.45","7080.3","6996.9","7072.00"
"29 Aug 2012","7083.6","7101.05","7024.95","7042.10"
"28 Aug 2012","7151.75","7154.65","7026.05","7083.10"
"27 Aug 2012","7207.8","7231.3","7146.65","7152.30"
"24 Aug 2012","7247.65","7247.65","7184.45","7207.60"
"23 Aug 2012","7256.4","7301.85","7228.6","7249.00"
"22 Aug 2012","7294.85","7311.6","7253","7257.90"
"21 Aug 2012","7276.25","7303.7","7258.2","7295.50"
"17 Aug 2012","7287.2","7344.05","7246.35","7275.70"
