"Date","Open","High","Low","Close"
"31 Dec 2012","12278.4","12348.8","12278.4","12340.05"
"28 Dec 2012","12189.95","12298.55","12189.95","12278.40"
"27 Dec 2012","12233","12309.5","12170.65","12185.00"
"26 Dec 2012","12165.05","12257.5","12165.05","12228.40"
"24 Dec 2012","12147.45","12209.8","12127.7","12163.20"
"21 Dec 2012","12305.4","12305.4","12122.3","12146.55"
"20 Dec 2012","12291.15","12335.45","12195.15","12310.35"
"19 Dec 2012","12216.8","12318.7","12216.8","12296.25"
"18 Dec 2012","12043","12214.65","11982.85","12208.50"
"17 Dec 2012","11977.65","12053.55","11977.65","12042.90"
"14 Dec 2012","11888","11988.05","11866.2","11977.20"
"13 Dec 2012","12000.95","12057.1","11860.25","11887.85"
"12 Dec 2012","11992.5","12039.75","11956.8","11999.20"
"11 Dec 2012","12050.8","12117.7","11863.35","11988.30"
"10 Dec 2012","12004.3","12062.05","12004.3","12046.55"
"07 Dec 2012","12065.2","12117.25","11967.4","11999.35"
"06 Dec 2012","11969.85","12078.9","11919.25","12061.20"
"05 Dec 2012","11950.95","12017.2","11950.95","11966.45"
"04 Dec 2012","11887.25","11974.25","11866.15","11944.00"
"03 Dec 2012","11794","11893.85","11793.1","11886.15"
"30 Nov 2012","11718.35","11805.25","11711.35","11790.60"
"29 Nov 2012","11601","11726.9","11600.55","11713.30"
"27 Nov 2012","11415.8","11606.4","11415.8","11596.95"
"26 Nov 2012","11254.6","11439.15","11254.6","11413.60"
"23 Nov 2012","11206.85","11266.2","11179.5","11253.75"
"22 Nov 2012","11131.05","11213.4","11129.9","11205.50"
"21 Nov 2012","11078.3","11137.15","11042.35","11128.20"
"20 Nov 2012","11133.5","11219.7","11020.9","11075.50"
"19 Nov 2012","11243.05","11280.95","11102.75","11127.00"
"16 Nov 2012","11363.7","11440.2","11214.35","11241.60"
"15 Nov 2012","11343.5","11394","11286","11365.65"
"13 Nov 2012","11344.5","11384.95","11332.55","11347.80"
"12 Nov 2012","11158.45","11362.75","11158.45","11342.65"
"09 Nov 2012","11238.95","11321.1","11143.9","11158.95"
"08 Nov 2012","11222.05","11249.6","11127.75","11239.95"
"07 Nov 2012","11097.45","11259.55","11095.9","11229.45"
"06 Nov 2012","11061.3","11106.55","11044.1","11095.50"
"05 Nov 2012","11077.35","11105.35","11026.3","11064.40"
"02 Nov 2012","11004.95","11118.95","11004.95","11080.40"
"01 Nov 2012","10899.45","11010.5","10899.45","10997.30"
"31 Oct 2012","10776.7","10907.85","10767","10898.45"
"30 Oct 2012","10864.9","10926.35","10733.1","10778.65"
"29 Oct 2012","10934.2","10967.65","10819.35","10865.85"
"26 Oct 2012","11068.95","11100.55","10907.6","10934.15"
"25 Oct 2012","11082.5","11104.7","11044.35","11075.60"
"23 Oct 2012","11123.75","11154.45","11063.25","11078.80"
"22 Oct 2012","11104.45","11127.4","11019.5","11124.65"
"19 Oct 2012","11168.55","11184.2","11047.3","11108.85"
"18 Oct 2012","11077.15","11180.3","11066.6","11174.85"
"17 Oct 2012","11067.2","11129.15","11009.35","11073.00"
"16 Oct 2012","11165.2","11232.85","11042.6","11060.95"
"15 Oct 2012","11209.1","11235.75","11139.65","11161.25"
"12 Oct 2012","11210.1","11315","11198.35","11210.20"
"11 Oct 2012","11083.75","11226.65","11023.8","11208.45"
"10 Oct 2012","11197.1","11197.1","11068.9","11081.05"
"09 Oct 2012","11139.75","11250.9","11139.35","11204.20"
"08 Oct 2012","11221.95","11280.95","11109.8","11136.60"
"05 Oct 2012","11291.05","11353.9","11069.15","11221.00"
"04 Oct 2012","11194.6","11347.9","11194.6","11279.65"
"03 Oct 2012","11118.45","11235.55","11114.15","11190.10"
"01 Oct 2012","11044.7","11123.25","11044.7","11115.00"
"28 Sep 2012","10895.05","11073.75","10895.05","11042.75"
"27 Sep 2012","10801.75","10912.85","10801.75","10884.75"
"26 Sep 2012","10792.9","10851.65","10752.75","10799.80"
"25 Sep 2012","10747","10836.6","10707.25","10795.35"
"24 Sep 2012","10672.4","10852.6","10672.4","10738.55"
"21 Sep 2012","10495.55","10708.85","10495.55","10672.60"
"20 Sep 2012","10499.5","10545.2","10394.35","10488.50"
"18 Sep 2012","10364","10518.7","10317.35","10502.40"
"17 Sep 2012","10216.8","10375.75","10216.8","10363.15"
"14 Sep 2012","10124.85","10275.75","10124.85","10210.70"
"13 Sep 2012","10166.45","10203","10102.7","10117.20"
"12 Sep 2012","10162.85","10219","10129.2","10167.30"
"11 Sep 2012","10149","10168.6","10116.75","10160.45"
"10 Sep 2012","10107.1","10164.45","10084.5","10152.10"
"08 Sep 2012","10057.45","10118.5","10056.85","10107.85"
"07 Sep 2012","9966.85","10078.75","9966.85","10057.90"
"06 Sep 2012","9912.6","9990.2","9911.2","9960.65"
"05 Sep 2012","9975.05","9975.05","9903.25","9914.15"
"04 Sep 2012","9875.5","9985.35","9875.5","9976.60"
"03 Sep 2012","9895.85","9948.2","9851.55","9875.05"
"31 Aug 2012","9897.2","9953.7","9828.65","9892.15"
"30 Aug 2012","9875.05","9921.5","9821.45","9898.40"
"29 Aug 2012","9915.1","9945.3","9854.1","9876.80"
"28 Aug 2012","9996.6","9998.3","9828.25","9915.35"
"27 Aug 2012","10102.4","10127.85","9990.7","9997.20"
"24 Aug 2012","10128.5","10128.5","10043.05","10101.70"
"23 Aug 2012","10163.65","10218.75","10102.65","10131.70"
"22 Aug 2012","10213.8","10230.75","10155.55","10167.15"
"21 Aug 2012","10190.9","10224.1","10149.5","10217.55"
"17 Aug 2012","10209.5","10288.45","10150","10190.55"
"16 Aug 2012","10237.2","10282.55","10192.25","10207.10"
"14 Aug 2012","10201.05","10247.05","10178.35","10234.80"
"13 Aug 2012","10077.2","10214.65","10066.3","10202.80"
"10 Aug 2012","10101.7","10110.65","10040.5","10077.00"
"09 Aug 2012","10140.9","10200.1","10078","10102.70"
"08 Aug 2012","10198","10254.25","10119.25","10139.05"
"07 Aug 2012","10154.45","10236.1","10154.45","10194.90"
"06 Aug 2012","10098.4","10221.25","10098.4","10152.90"
"03 Aug 2012","10131.9","10131.9","10031.75","10093.90"
"02 Aug 2012","10078.55","10140.5","10066.35","10135.45"
"01 Aug 2012","10029.35","10097.2","10014.9","10080.60"
"31 Jul 2012","9980.55","10043.45","9908.9","10028.55"
"30 Jul 2012","9787.55","9990.15","9787.55","9978.40"
"27 Jul 2012","9823.05","9968.55","9756.3","9783.80"
