"Date","Open","High","Low","Close"
"31 Dec 2012","3640.45","3689.7","3640.45","3673.40"
"28 Dec 2012","3648.8","3661.65","3627.65","3645.90"
"27 Dec 2012","3628.1","3654.7","3618.3","3640.40"
"26 Dec 2012","3573.2","3632.3","3562.75","3624.60"
"24 Dec 2012","3576.25","3592.8","3554.55","3565.80"
"21 Dec 2012","3624.05","3629.3","3561.8","3570.20"
"20 Dec 2012","3628.4","3666.35","3591.35","3647.30"
"19 Dec 2012","3642.5","3670.1","3620.05","3631.80"
"18 Dec 2012","3596.6","3637.9","3496","3626.10"
"17 Dec 2012","3555.8","3590.95","3553.1","3585.10"
"14 Dec 2012","3465.85","3564.6","3446.8","3551.90"
"13 Dec 2012","3533.9","3570.1","3460.9","3470.00"
"12 Dec 2012","3538.75","3556","3503.95","3522.50"
"11 Dec 2012","3580.75","3596.95","3495.75","3534.00"
"10 Dec 2012","3517.5","3576.1","3500.35","3570.30"
"07 Dec 2012","3513.4","3545.85","3489.55","3510.10"
"06 Dec 2012","3461.5","3515.9","3411.05","3501.80"
"05 Dec 2012","3409.05","3467.35","3408.3","3448.60"
"04 Dec 2012","3348.5","3403.95","3344.6","3395.50"
"03 Dec 2012","3333.2","3360","3323.95","3345.50"
"30 Nov 2012","3260.2","3330.9","3260.2","3324.70"
"29 Nov 2012","3221.15","3261.45","3206.35","3242.50"
"27 Nov 2012","3177.85","3213.95","3176.75","3207.90"
"26 Nov 2012","3174.8","3185.85","3153.75","3167.60"
"23 Nov 2012","3189.8","3194.8","3149.2","3169.30"
"22 Nov 2012","3144.15","3195.8","3144.15","3179.90"
"21 Nov 2012","3125.75","3148.55","3095","3138.10"
"20 Nov 2012","3177.35","3193.1","3106.05","3121.70"
"19 Nov 2012","3204.9","3208.35","3151.5","3164.30"
"16 Nov 2012","3261.15","3287.85","3180","3189.20"
"15 Nov 2012","3260.2","3286.45","3235.1","3263.10"
"13 Nov 2012","3301.05","3307.15","3267.5","3278.10"
"12 Nov 2012","3275.05","3306.7","3234.8","3301.60"
"09 Nov 2012","3361.5","3395.25","3260.15","3266.00"
"08 Nov 2012","3303.1","3383.1","3285.6","3366.40"
"07 Nov 2012","3239.4","3348.95","3236.2","3332.80"
"06 Nov 2012","3203.5","3249.95","3194.8","3245.90"
"05 Nov 2012","3229.75","3237.95","3195.25","3218.80"
"02 Nov 2012","3194.55","3243.35","3183.2","3236.60"
"01 Nov 2012","3138.95","3179.9","3132","3170.70"
"31 Oct 2012","3087.35","3146","3065.8","3140.00"
"30 Oct 2012","3222.65","3267.6","3083.05","3091.90"
"29 Oct 2012","3237.35","3270.1","3210.75","3222.90"
"26 Oct 2012","3297.25","3319.55","3229.5","3239.60"
"25 Oct 2012","3349.5","3361.15","3304.2","3312.10"
"23 Oct 2012","3350.9","3385.25","3340.55","3346.60"
"22 Oct 2012","3353.35","3389.2","3341.8","3359.10"
"19 Oct 2012","3391.8","3412.8","3352.6","3382.60"
"18 Oct 2012","3311.8","3403.75","3296.9","3400.20"
