"Date","Open","High","Low","Close"
"31 Dec 2012","3689.35","3715.25","3688.15","3710.10"
"28 Dec 2012","3681.5","3697.25","3669.65","3685.10"
"27 Dec 2012","3704.8","3721.25","3670.7","3675.50"
"26 Dec 2012","3680.85","3711.35","3680.85","3704.10"
"24 Dec 2012","3666.6","3687.6","3666.6","3677.40"
"21 Dec 2012","3716.45","3719.85","3657.2","3663.20"
"20 Dec 2012","3740.3","3749.15","3713.75","3728.00"
"19 Dec 2012","3737.45","3759.5","3729.35","3733.30"
"18 Dec 2012","3699.55","3726.75","3666.5","3723.30"
"17 Dec 2012","3674.2","3700.75","3670.7","3690.50"
"14 Dec 2012","3658.3","3675.85","3649.6","3667.50"
"13 Dec 2012","3707.6","3721.35","3647.7","3653.40"
"12 Dec 2012","3705.35","3719.05","3693.9","3700.60"
"11 Dec 2012","3749.65","3773.2","3674.75","3699.50"
"10 Dec 2012","3737.6","3752.1","3734.9","3742.90"
"07 Dec 2012","3727.1","3768.9","3715.9","3728.30"
"06 Dec 2012","3698.65","3723.05","3688.4","3719.60"
"05 Dec 2012","3686.2","3710.05","3686.2","3690.00"
"04 Dec 2012","3682.85","3711.05","3667.85","3678.70"
"03 Dec 2012","3640.4","3680.95","3640.4","3677.80"
"30 Nov 2012","3617.25","3650.95","3617.25","3638.60"
"29 Nov 2012","3575.75","3612.3","3575.75","3605.40"
"27 Nov 2012","3538.9","3578.3","3538.9","3567.20"
"26 Nov 2012","3508.35","3549.75","3507","3536.00"
"23 Nov 2012","3485.3","3501","3482.1","3492.00"
"22 Nov 2012","3476.3","3498.35","3472.25","3482.70"
"21 Nov 2012","3459.6","3474.7","3440.3","3470.30"
"20 Nov 2012","3494.95","3514.35","3441.8","3454.80"
"19 Nov 2012","3518.95","3534.7","3482.35","3485.30"
"16 Nov 2012","3571.55","3590.75","3509.1","3518.40"
"15 Nov 2012","3539.3","3563.4","3503","3560.70"
"13 Nov 2012","3495.05","3547.7","3495.05","3544.60"
"12 Nov 2012","3456.85","3488.8","3456.85","3485.20"
"09 Nov 2012","3499.45","3523.25","3459.25","3461.90"
"08 Nov 2012","3482.9","3506.3","3465.25","3497.50"
"07 Nov 2012","3478.25","3509.4","3474.15","3499.10"
"06 Nov 2012","3433","3471.25","3431.85","3467.20"
"05 Nov 2012","3449.2","3457.5","3432.8","3437.70"
"02 Nov 2012","3438.7","3466.6","3438.7","3443.50"
"01 Nov 2012","3412.55","3434.15","3408.1","3430.30"
"31 Oct 2012","3382.2","3411.8","3376.75","3410.20"
"30 Oct 2012","3426.25","3443.7","3380.6","3382.50"
"29 Oct 2012","3456.2","3463.65","3418.4","3428.60"
"26 Oct 2012","3493.1","3496.05","3438.55","3443.70"
"25 Oct 2012","3486.15","3501.2","3473.35","3490.20"
"23 Oct 2012","3511.85","3527","3488.05","3490.50"
"22 Oct 2012","3524.75","3531.7","3504","3507.10"
"19 Oct 2012","3538.35","3565.5","3518.95","3528.50"
"18 Oct 2012","3498.85","3547.05","3498.85","3545.40"
"17 Oct 2012","3488.5","3509.95","3478","3493.40"
"16 Oct 2012","3491.85","3530.65","3477","3482.40"
"15 Oct 2012","3490.8","3509.05","3488.25","3491.50"
"12 Oct 2012","3490.3","3523.9","3480.8","3483.50"
"11 Oct 2012","3450.3","3489.9","3431.3","3488.00"
"10 Oct 2012","3510.45","3510.45","3446.75","3449.80"
"09 Oct 2012","3490.05","3538.55","3490.05","3514.40"
"08 Oct 2012","3513.3","3536.65","3487","3499.20"
"05 Oct 2012","3545.2","3565.8","3474.9","3510.90"
"04 Oct 2012","3527.8","3561.15","3526.95","3536.30"
"03 Oct 2012","3503.05","3523.5","3500.85","3518.90"
"01 Oct 2012","3448","3497.5","3448","3494.50"
"28 Sep 2012","3435.75","3481.55","3435.75","3451.60"
"27 Sep 2012","3435.5","3453.05","3422.5","3424.30"
"26 Sep 2012","3432.4","3457.4","3414.95","3425.60"
"25 Sep 2012","3425.6","3444.3","3403.35","3432.00"
"24 Sep 2012","3415.1","3452.25","3409.45","3419.00"
"21 Sep 2012","3372.45","3413.95","3371.15","3398.60"
"20 Sep 2012","3375","3380.15","3345.25","3355.10"
"18 Sep 2012","3367.95","3396.6","3359.1","3387.40"
"17 Sep 2012","3358","3374.45","3333.55","3358.20"
"14 Sep 2012","3305.5","3359.05","3305.5","3328.60"
"13 Sep 2012","3320.85","3334.55","3300.85","3304.50"
"12 Sep 2012","3296.75","3318.25","3293.75","3315.90"
"11 Sep 2012","3269.1","3291.5","3266.9","3289.50"
"10 Sep 2012","3267.35","3280.7","3263.35","3268.40"
"08 Sep 2012","3248","3268.25","3245.1","3264.10"
"07 Sep 2012","3229.3","3249.7","3229.3","3239.70"
"06 Sep 2012","3190.75","3217.2","3190.35","3204.60"
"05 Sep 2012","3190","3203.5","3177.45","3190.50"
"04 Sep 2012","3168.35","3190.5","3163.95","3189.80"
"03 Sep 2012","3166.2","3192.15","3163.4","3169.20"
"31 Aug 2012","3164.55","3183.5","3151.9","3158.40"
"30 Aug 2012","3154.6","3173.6","3134.05","3168.10"
"29 Aug 2012","3194.65","3204.25","3154","3160.30"
"28 Aug 2012","3233.9","3233.9","3162.35","3190.80"
"27 Aug 2012","3290.85","3299.5","3228.15","3233.50"
"24 Aug 2012","3310.65","3310.65","3279.55","3287.40"
"23 Aug 2012","3323.5","3349.3","3304.7","3316.70"
"22 Aug 2012","3329.85","3341.8","3318.75","3322.80"
"21 Aug 2012","3334.4","3341.2","3314.6","3330.30"
"17 Aug 2012","3303.8","3348.9","3302.3","3323.50"
"16 Aug 2012","3296.6","3320.7","3295.65","3309.50"
"14 Aug 2012","3263.9","3297.95","3262.15","3292.70"
"13 Aug 2012","3257.35","3270.3","3248.7","3267.20"
"10 Aug 2012","3268.7","3270.1","3244.85","3258.50"
"09 Aug 2012","3272.25","3287.15","3255.85","3268.10"
"08 Aug 2012","3289.3","3307.25","3264.4","3272.50"
"07 Aug 2012","3280.35","3300.05","3280.35","3283.50"
"06 Aug 2012","3259.9","3300.45","3259.9","3274.70"
"03 Aug 2012","3246.35","3253.75","3221.85","3249.30"
"02 Aug 2012","3244.25","3258.1","3238.55","3255.30"
"01 Aug 2012","3210.55","3250.7","3202.35","3247.40"
"31 Jul 2012","3204.1","3218.35","3175.15","3208.00"
"30 Jul 2012","3147.95","3204.35","3147.95","3201.40"
"27 Jul 2012","3198.2","3234.65","3137.3","3142.90"
"26 Jul 2012","3289.75","3292.5","3185.25","3192.80"
"25 Jul 2012","3311.5","3312","3274.4","3285.90"
"24 Jul 2012","3314.85","3331.9","3296.75","3318.00"
"23 Jul 2012","3339.4","3346","3305.75","3311.60"
"20 Jul 2012","3367.55","3372.3","3350.55","3358.10"
"19 Jul 2012","3358.3","3380.35","3358.3","3363.40"
"18 Jul 2012","3335.85","3353.45","3310.1","3348.40"
"17 Jul 2012","3383.65","3396.2","3332.15","3336.60"
"16 Jul 2012","3406.05","3419.05","3364.8","3369.50"
"13 Jul 2012","3398.5","3428.2","3390.6","3394.70"
"12 Jul 2012","3422.35","3422.35","3378.45","3393.00"
"11 Jul 2012","3441.4","3464.5","3426.65","3429.60"
"10 Jul 2012","3405.7","3447.55","3405.7","3444.30"
"09 Jul 2012","3448.85","3448.85","3401.45","3406.80"
"06 Jul 2012","3479.8","3482.5","3446.2","3451.80"
"05 Jul 2012","3428.25","3478.6","3428.25","3473.30"
"04 Jul 2012","3415.2","3433.4","3407.5","3424.80"
"03 Jul 2012","3392.15","3422.8","3388.9","3406.50"
"02 Jul 2012","3361","3389.8","3354.85","3382.40"
"29 Jun 2012","3310","3354.25","3310","3350.80"
"28 Jun 2012","3302.2","3320.85","3288.8","3297.90"
"27 Jun 2012","3299.35","3312.65","3292.15","3298.60"
"26 Jun 2012","3288.55","3303.2","3277.9","3286.90"
"25 Jun 2012","3291.8","3330.55","3285.8","3288.90"
"22 Jun 2012","3284.95","3304","3268.55","3293.10"
"21 Jun 2012","3265","3295.95","3260.25","3294.40"
"20 Jun 2012","3235.65","3274","3234.65","3267.10"
"19 Jun 2012","3212.3","3235.9","3206.85","3231.70"
"18 Jun 2012","3273.95","3294.45","3208.55","3219.40"
"15 Jun 2012","3245.6","3271.95","3245.6","3261.80"
"14 Jun 2012","3273.95","3292.75","3237.25","3241.90"
"13 Jun 2012","3276.25","3299.25","3273","3276.50"
"12 Jun 2012","3247.55","3274.25","3238.9","3273.40"
"11 Jun 2012","3269.8","3306.85","3247.1","3253.90"
"08 Jun 2012","3247.45","3259.9","3223.5","3257.60"
"07 Jun 2012","3233.6","3251.2","3227.5","3250.00"
"06 Jun 2012","3168.4","3228.25","3168.4","3226.80"
"05 Jun 2012","3173.2","3192.15","3156.35","3163.00"
"04 Jun 2012","3137.65","3164.55","3107.3","3160.40"
"01 Jun 2012","3208.15","3223.3","3153.65","3160.90"
"31 May 2012","3209.9","3221.6","3183.85","3212.50"
"30 May 2012","3248.45","3251.2","3208.3","3214.60"
"29 May 2012","3266.65","3274.1","3249.7","3253.60"
"28 May 2012","3225.55","3255.75","3225.55","3252.20"
"25 May 2012","3204.4","3234.25","3204.4","3219.70"
"24 May 2012","3174.85","3209.05","3165.45","3204.70"
"23 May 2012","3190.1","3191.3","3159.55","3174.00"
"22 May 2012","3244.35","3251.3","3183.75","3190.80"
"21 May 2012","3195.9","3226.55","3195.9","3214.60"
"18 May 2012","3165.45","3196.25","3135.5","3190.20"
"17 May 2012","3182.1","3220.6","3174.25","3182.50"
"16 May 2012","3200","3200","3144.85","3169.80"
"15 May 2012","3169.45","3211","3158.05","3206.30"
"14 May 2012","3234.25","3247.6","3167.4","3176.60"
"11 May 2012","3260.15","3265.85","3210.3","3234.70"
"10 May 2012","3254.35","3293.45","3251.55","3258.90"
"09 May 2012","3306.25","3317.2","3242.95","3250.00"
"08 May 2012","3365.35","3382.6","3298.15","3308.60"
"07 May 2012","3326.8","3368.5","3270.9","3360.20"
"04 May 2012","3418.3","3418.3","3334.1","3342.10"
"03 May 2012","3458.65","3458.65","3410.4","3420.20"
"02 May 2012","3454.8","3483.65","3449.15","3457.00"
"30 Apr 2012","3419","3448.55","3419","3444.70"
"28 Apr 2012","3415.25","3421.95","3399.75","3417.40"
"27 Apr 2012","3400.65","3430.4","3386.2","3406.10"
"26 Apr 2012","3416.2","3428.15","3394.4","3399.40"
"25 Apr 2012","3435.85","3452.15","3393.5","3414.30"
"24 Apr 2012","3429.5","3436.15","3401.8","3430.40"
"23 Apr 2012","3487.65","3512.1","3423.6","3429.50"
"20 Apr 2012","3513.8","3530.55","3473.25","3486.30"
"19 Apr 2012","3501.15","3521.35","3501.15","3514.40"
"18 Apr 2012","3493.8","3525.8","3490.35","3495.30"
"17 Apr 2012","3457.35","3481.75","3444.4","3480.10"
"16 Apr 2012","3421.6","3458.7","3412.25","3453.60"
"13 Apr 2012","3454.6","3486.35","3417.15","3420.60"
"12 Apr 2012","3425.2","3463.95","3425.2","3445.20"
"11 Apr 2012","3423.45","3448.3","3408.1","3416.30"
"10 Apr 2012","3439.7","3451.25","3417.7","3435.80"
"09 Apr 2012","3482.25","3486.9","3431.8","3436.30"
"04 Apr 2012","3471.55","3495.7","3469.8","3492.00"
"03 Apr 2012","3460.85","3490.05","3460.85","3484.60"
"02 Apr 2012","3397.3","3452.15","3397.3","3445.80"
"30 Mar 2012","3304.55","3387.3","3304.55","3386.00"
"29 Mar 2012","3284.3","3308.85","3267.85","3301.60"
"28 Mar 2012","3325.8","3326.25","3288.7","3298.40"
"27 Mar 2012","3350.8","3371.75","3312.75","3328.10"
"26 Mar 2012","3380.8","3380.8","3327.7","3337.90"
"23 Mar 2012","3362.35","3392.45","3344.1","3375.70"
"22 Mar 2012","3437.85","3448.25","3350.65","3357.90"
"21 Mar 2012","3364.85","3434.65","3364.85","3429.50"
"20 Mar 2012","3344.45","3368.1","3329.05","3365.60"
"19 Mar 2012","3370.35","3390.35","3327","3344.50"
"16 Mar 2012","3416.5","3439.6","3363.5","3369.90"
"15 Mar 2012","3435.75","3445.55","3395.75","3412.60"
"14 Mar 2012","3448.95","3471.25","3427.9","3439.60"
"13 Mar 2012","3401.75","3436.8","3398.45","3435.60"
"12 Mar 2012","3364.35","3400","3364.35","3394.30"
"09 Mar 2012","3293.25","3358.65","3293.25","3355.50"
"07 Mar 2012","3275","3287.9","3251.85","3277.10"
"06 Mar 2012","3319.2","3357.35","3273.6","3279.70"
"05 Mar 2012","3356.05","3357.3","3309.8","3317.40"
"03 Mar 2012","3360.85","3363.45","3353.1","3359.20"
"02 Mar 2012","3379.2","3390.15","3347.25","3354.70"
"01 Mar 2012","3388","3396.85","3345.2","3366.20"
"29 Feb 2012","3350.6","3409.35","3339.7","3383.40"
"28 Feb 2012","3273.4","3353.6","3273.4","3350.50"
"27 Feb 2012","3354.9","3366.15","3250.4","3260.60"
"24 Feb 2012","3399.9","3428.9","3343.05","3358.10"
"23 Feb 2012","3402.4","3407.95","3338.75","3387.40"
"22 Feb 2012","3536.6","3553.1","3388.35","3404.70"
"21 Feb 2012","3501.25","3532.05","3497.05","3527.50"
"17 Feb 2012","3521.6","3570.25","3485.85","3495.00"
"16 Feb 2012","3467.5","3516.25","3464.5","3507.00"
"15 Feb 2012","3421.25","3475.1","3421.25","3467.60"
"14 Feb 2012","3394.9","3422.85","3392.45","3418.80"
"13 Feb 2012","3379.95","3401.65","3365.55","3389.00"
"10 Feb 2012","3376.05","3405.95","3339.6","3380.90"
"09 Feb 2012","3327.35","3371.55","3323.5","3369.60"
"08 Feb 2012","3276.05","3334.65","3276.05","3324.10"
"07 Feb 2012","3294.65","3318.05","3255.95","3271.50"
"06 Feb 2012","3285.95","3329.8","3277.95","3294.40"
"03 Feb 2012","3241.5","3276.85","3237.2","3272.90"
"02 Feb 2012","3213","3248.45","3195.25","3234.60"
"01 Feb 2012","3171.05","3206.45","3166.05","3198.90"
"31 Jan 2012","3107.95","3168.55","3107.95","3164.20"
"30 Jan 2012","3164.1","3165.8","3095","3101.80"
"27 Jan 2012","3125.05","3159.6","3125.05","3155.60"
"25 Jan 2012","3093.15","3124.75","3093.15","3120.50"
"24 Jan 2012","3050.85","3087.85","3035.45","3082.10"
"23 Jan 2012","3044.95","3058.25","3033.15","3038.00"
"20 Jan 2012","3057.35","3079.7","3028.7","3042.40"
"19 Jan 2012","3017.45","3048.8","3017.45","3045.50"
"18 Jan 2012","3041.3","3045","2996","3003.00"
"17 Jan 2012","2994.95","3050.4","2994.95","3030.00"
"16 Jan 2012","2981.75","2998.3","2968.45","2995.70"
"13 Jan 2012","2961.5","3002.95","2961.5","2984.40"
"12 Jan 2012","2959.25","2983.6","2948.8","2960.30"
"11 Jan 2012","2938.65","2984.2","2938.65","2964.30"
"10 Jan 2012","2866.95","2934.4","2866.95","2931.90"
"09 Jan 2012","2831.05","2859.95","2810.55","2856.90"
"07 Jan 2012","2808.05","2831.5","2808.05","2827.00"
"06 Jan 2012","2794.85","2814.7","2782.6","2803.00"
"05 Jan 2012","2799.2","2826.85","2792.85","2798.70"
"04 Jan 2012","2805.9","2818.5","2790.9","2796.60"
"03 Jan 2012","2723.85","2799.55","2723.85","2796.10"
"02 Jan 2012","2716.3","2729.95","2696.85","2716.40"
"30 Dec 2011","2722.65","2734.55","2695.05","2711.80"
"29 Dec 2011","2723.55","2729.75","2708.95","2717.60"
"28 Dec 2011","2756","2758.45","2718.75","2724.70"
"27 Dec 2011","2783.4","2788.9","2749.25","2758.40"
"26 Dec 2011","2754.2","2781.7","2752.7","2779.70"
"23 Dec 2011","2750.15","2782.45","2740.05","2747.70"
