"Date","Open","High","Low","Close"
"31 Dec 2012","5901.2","5919","5897.15","5905.10"
"28 Dec 2012","5887.15","5915.75","5879.5","5908.30"
"27 Dec 2012","5930.2","5930.8","5864.7","5870.10"
"26 Dec 2012","5864.95","5917.3","5859.55","5905.60"
"24 Dec 2012","5869","5871.9","5844.7","5855.70"
"21 Dec 2012","5888","5888","5841.65","5847.70"
"20 Dec 2012","5934.45","5937.6","5881.45","5916.40"
"19 Dec 2012","5917.3","5939.4","5910.8","5929.60"
"18 Dec 2012","5873.6","5905.8","5823.15","5896.80"
"17 Dec 2012","5860.5","5886.05","5850.15","5857.90"
"14 Dec 2012","5846.9","5886.1","5839.15","5879.60"
"13 Dec 2012","5900.35","5907.45","5841.35","5851.50"
"12 Dec 2012","5917.8","5924.6","5874.25","5888.00"
"11 Dec 2012","5923.8","5965.15","5865.45","5898.80"
"10 Dec 2012","5916.05","5919.95","5888.1","5908.90"
"07 Dec 2012","5934","5949.85","5888.65","5907.40"
"06 Dec 2012","5926.3","5942.55","5838.9","5930.90"
"05 Dec 2012","5906.6","5917.8","5891.35","5900.50"
"04 Dec 2012","5866.8","5894.95","5859","5889.20"
"03 Dec 2012","5878.25","5899.15","5854.6","5870.90"
"30 Nov 2012","5836","5885.25","5827.85","5879.80"
"29 Nov 2012","5736.7","5833.5","5736.1","5825.00"
"27 Nov 2012","5658.5","5733.2","5658","5727.40"
"26 Nov 2012","5648.65","5649.2","5623.45","5635.90"
"23 Nov 2012","5635.45","5637.75","5593.55","5626.60"
"22 Nov 2012","5628.6","5643.35","5608","5627.70"
"21 Nov 2012","5582.5","5620.2","5561.4","5614.80"
"20 Nov 2012","5604.8","5613.7","5548.35","5571.50"
"19 Nov 2012","5577.3","5592.75","5549.25","5571.40"
"16 Nov 2012","5624.8","5650.15","5559.8","5574.00"
"15 Nov 2012","5650.35","5651.65","5603.55","5631.00"
"13 Nov 2012","5689.7","5698.25","5660.35","5666.90"
"12 Nov 2012","5688.45","5718.9","5665.75","5683.70"
"09 Nov 2012","5731.1","5751.7","5677.75","5686.20"
"08 Nov 2012","5709","5744.5","5693.95","5738.70"
"07 Nov 2012","5718.6","5777.3","5711.4","5760.10"
"06 Nov 2012","5694.1","5730.8","5693.65","5724.40"
"05 Nov 2012","5693.05","5709.2","5679.5","5704.20"
"02 Nov 2012","5696.35","5711.3","5682.55","5697.70"
"01 Nov 2012","5609.85","5649.75","5601.95","5645.00"
"31 Oct 2012","5596.75","5624.4","5583.05","5619.70"
"30 Oct 2012","5656.35","5689.9","5589.9","5597.90"
"29 Oct 2012","5665.2","5698.3","5645.1","5665.60"
"26 Oct 2012","5683.55","5697.2","5641.75","5664.30"
"25 Oct 2012","5688.8","5718.75","5685.7","5705.30"
"23 Oct 2012","5715.65","5720.8","5681.45","5691.40"
"22 Oct 2012","5667.6","5721.55","5658.05","5717.10"
"19 Oct 2012","5703.3","5711.7","5660","5684.20"
"18 Oct 2012","5675.3","5722.5","5650.55","5718.70"
"17 Oct 2012","5681.1","5684.35","5633.9","5660.20"
"16 Oct 2012","5705.6","5714","5635.6","5648.00"
"15 Oct 2012","5674.25","5693.7","5651.05","5687.20"
"12 Oct 2012","5681.7","5725","5659.35","5676.00"
"11 Oct 2012","5663.5","5721.1","5636.95","5708.00"
"10 Oct 2012","5671.15","5686.5","5647.05","5652.10"
"09 Oct 2012","5708.15","5728.65","5677.9","5704.60"
"08 Oct 2012","5751.85","5751.85","5666.2","5676.00"
"05 Oct 2012","5815","5815.35","4888.2","5746.90"
"04 Oct 2012","5751.55","5807.25","5751.35","5787.60"
"03 Oct 2012","5727.7","5743.25","5715.8","5731.20"
"01 Oct 2012","5704.75","5722.95","5694","5718.80"
"28 Sep 2012","5684.8","5735.15","5683.45","5703.30"
"27 Sep 2012","5673.75","5693.7","5639.7","5649.50"
"26 Sep 2012","5653.4","5672.8","5638.65","5663.40"
"25 Sep 2012","5674.9","5702.7","5652.45","5673.90"
"24 Sep 2012","5691.95","5709.85","5662.75","5669.60"
"21 Sep 2012","5577","5720","5575.45","5691.10"
"20 Sep 2012","5536.95","5581.35","5534.9","5554.20"
"18 Sep 2012","5602.4","5620.55","5586.45","5600.00"
"17 Sep 2012","5631.75","5652.2","5585.15","5610.00"
"14 Sep 2012","5528.35","5586.65","5526.95","5577.60"
"13 Sep 2012","5435.2","5447.45","5421.85","5435.30"
"12 Sep 2012","5404.45","5435.55","5393.95","5431.00"
"11 Sep 2012","5336.1","5393.35","5332.1","5390.00"
"10 Sep 2012","5361.9","5375.45","5349.1","5363.40"
"08 Sep 2012","5343.65","5366.3","5343.45","5358.70"
"07 Sep 2012","5309.45","5347.15","5309.2","5342.10"
"06 Sep 2012","5217.65","5260.6","5217.65","5238.40"
"05 Sep 2012","5243.9","5259.5","5215.7","5225.70"
"04 Sep 2012","5249.15","5278.35","5233.2","5274.00"
"03 Sep 2012","5276.5","5295.8","5243.15","5253.70"
"31 Aug 2012","5298.2","5303.25","5238.9","5258.50"
"30 Aug 2012","5268.6","5342.8","5255.05","5315.00"
"29 Aug 2012","5343.85","5345.5","5282.7","5287.80"
"28 Aug 2012","5348.05","5359.25","5312.6","5334.60"
"27 Aug 2012","5387.85","5399.15","5346.65","5350.20"
"24 Aug 2012","5392.6","5399.65","5371","5386.70"
"23 Aug 2012","5426.15","5448.6","5393.85","5415.30"
"22 Aug 2012","5395.75","5433.35","5394.8","5412.80"
"21 Aug 2012","5368.7","5425.15","5368.7","5421.00"
"17 Aug 2012","5368.6","5399.95","5341.7","5366.30"
"16 Aug 2012","5385.95","5390.65","5356.65","5362.90"
"14 Aug 2012","5343.25","5387.05","5328.8","5380.30"
"13 Aug 2012","5316.35","5352.45","5309.05","5347.90"
"10 Aug 2012","5308.2","5330.1","5294.1","5320.40"
"09 Aug 2012","5348.3","5368.2","5312.1","5322.90"
"08 Aug 2012","5345.25","5377.6","5331.05","5338.00"
"07 Aug 2012","5295.4","5350.1","5281.65","5336.70"
"06 Aug 2012","5260.85","5293.2","5260.85","5282.50"
"03 Aug 2012","5195.6","5220.2","5164.65","5215.70"
"02 Aug 2012","5233.1","5236.9","5209.95","5227.70"
"01 Aug 2012","5220.7","5246.35","5212.65","5240.50"
