"Date","Open","High","Low","Close"
"31 Dec 2012","4802.25","4835.3","4802.25","4830.50"
"28 Dec 2012","4798.35","4821.65","4779.65","4801.50"
"27 Dec 2012","4804.2","4841.5","4774.95","4783.50"
"26 Dec 2012","4767.3","4812.95","4763.25","4792.60"
"24 Dec 2012","4767.6","4802.8","4752.05","4773.90"
"21 Dec 2012","4784.55","4802.35","4740.5","4752.90"
"20 Dec 2012","4849.6","4856.8","4802.25","4814.20"
"19 Dec 2012","4793.95","4853.4","4793.65","4847.30"
"18 Dec 2012","4766.2","4788","4749.35","4769.40"
"17 Dec 2012","4705.4","4765.4","4705.4","4744.60"
"14 Dec 2012","4683.8","4720.35","4676.45","4714.30"
"13 Dec 2012","4676.85","4731.15","4669.95","4685.50"
"12 Dec 2012","4617.35","4660.1","4617.35","4647.40"
"11 Dec 2012","4603.35","4633.9","4564.05","4605.00"
"10 Dec 2012","4621.1","4639.45","4591.7","4604.30"
"07 Dec 2012","4598.05","4665.45","4598.05","4618.10"
"06 Dec 2012","4575.3","4605.4","4540.15","4592.10"
"05 Dec 2012","4560.55","4590.05","4550.35","4554.40"
"04 Dec 2012","4569.45","4578.9","4535.85","4550.60"
"03 Dec 2012","4559.3","4595.9","4554.95","4568.40"
"30 Nov 2012","4569.1","4602.1","4532.15","4556.00"
"29 Nov 2012","4492","4575.05","4491.55","4566.90"
"27 Nov 2012","4451.3","4488.3","4448.1","4480.60"
"26 Nov 2012","4457.1","4470.45","4429.95","4434.50"
"23 Nov 2012","4420.8","4449.2","4415.3","4443.50"
"22 Nov 2012","4439.75","4478","4423.4","4428.90"
"21 Nov 2012","4448.15","4456.9","4421.6","4437.40"
"20 Nov 2012","4443.4","4464.05","4404.1","4439.80"
"19 Nov 2012","4380.6","4423.85","4380.55","4413.70"
"16 Nov 2012","4440.75","4457.2","4359.9","4374.10"
"15 Nov 2012","4441.7","4446.85","4415.85","4441.00"
"13 Nov 2012","4491.45","4504.2","4474.3","4478.50"
"12 Nov 2012","4504.45","4508.3","4472.55","4490.80"
"09 Nov 2012","4515.2","4529.45","4484.7","4495.20"
"08 Nov 2012","4446.6","4531.05","4431.25","4515.00"
"07 Nov 2012","4442.95","4508.95","4442.95","4478.00"
"06 Nov 2012","4449.3","4458.9","4424.7","4445.00"
"05 Nov 2012","4485","4500.3","4436.8","4463.80"
"02 Nov 2012","4465.4","4496.3","4448.25","4488.70"
"01 Nov 2012","4342.65","4436.05","4340.55","4427.60"
"31 Oct 2012","4265.25","4333.95","4265.2","4329.40"
"30 Oct 2012","4325.55","4332.3","4235.5","4263.70"
"29 Oct 2012","4330.35","4358.75","4304.45","4324.10"
"26 Oct 2012","4280.1","4333.2","4280.1","4323.50"
"25 Oct 2012","4258","4294.75","4253.75","4286.60"
"23 Oct 2012","4288.65","4288.75","4252.4","4263.40"
"22 Oct 2012","4287.8","4314.45","4259.95","4295.40"
"19 Oct 2012","4331.6","4344","4278.85","4297.40"
"18 Oct 2012","4291.85","4341.05","4287.8","4334.40"
"17 Oct 2012","4288.2","4298.1","4250.35","4278.40"
"16 Oct 2012","4289.35","4309.75","4248.95","4258.30"
"15 Oct 2012","4309.1","4317.5","4290.05","4303.10"
"12 Oct 2012","4326.35","4360.6","4308.25","4314.60"
"11 Oct 2012","4321.1","4349.9","4279.8","4337.80"
"10 Oct 2012","4321.15","4351.35","4309.9","4314.40"
"09 Oct 2012","4363.55","4395.65","4323.75","4347.60"
"08 Oct 2012","4409.95","4415.45","4349.4","4355.90"
"05 Oct 2012","4408.3","4465.75","4076.5","4406.90"
"04 Oct 2012","4408.25","4430.9","4379.95","4383.20"
"03 Oct 2012","4392.95","4422.25","4377.35","4390.60"
"01 Oct 2012","4378.9","4415.35","4372.55","4399.90"
"28 Sep 2012","4328.5","4407.95","4328.5","4369.50"
"27 Sep 2012","4312.75","4357.65","4284.05","4297.60"
"26 Sep 2012","4293.5","4327.35","4276.9","4302.60"
"25 Sep 2012","4360.05","4387.6","4302.15","4318.00"
"24 Sep 2012","4319.15","4382.05","4319.15","4352.20"
"21 Sep 2012","4269.15","4339.25","4265.35","4318.00"
"20 Sep 2012","4222.85","4279.25","4213.5","4248.50"
"18 Sep 2012","4257.8","4275.6","4247.85","4267.40"
"17 Sep 2012","4241.65","4319.25","4241.65","4264.20"
"14 Sep 2012","4120.75","4196.4","4120.75","4191.20"
"13 Sep 2012","4092.9","4108.05","4069.3","4078.80"
"12 Sep 2012","4042.25","4094.1","4042.25","4089.60"
"11 Sep 2012","4011.4","4032.9","3997.1","4030.00"
"10 Sep 2012","4008.2","4045.35","3997.5","4036.20"
"08 Sep 2012","4004.55","4018.7","4003.05","4014.30"
"07 Sep 2012","3966.6","4001.7","3964.85","3994.80"
"06 Sep 2012","3879.75","3930.1","3867.7","3915.80"
"05 Sep 2012","3909.8","3922","3886.8","3893.10"
"04 Sep 2012","3900.15","3935.15","3892.6","3931.00"
"03 Sep 2012","3897.05","3940.5","3887.3","3905.30"
"31 Aug 2012","3924.7","3929.45","3869.6","3889.20"
"30 Aug 2012","3910.1","3962.7","3880.55","3931.20"
"29 Aug 2012","3982.75","3984.2","3911.8","3927.20"
"28 Aug 2012","4018.95","4026.15","3969.35","3984.50"
"27 Aug 2012","4045.05","4057.35","4020.2","4024.60"
"24 Aug 2012","4023.5","4047.65","3998.9","4040.10"
"23 Aug 2012","4079.6","4088.4","4030.2","4042.20"
