"Date","Open","High","Low","Close"
"31 Dec 2012","12442.85","12512.7","12427.7","12474.00"
"28 Dec 2012","12494.15","12494.15","12394.15","12458.00"
"27 Dec 2012","12516.05","12523.5","12436.65","12459.00"
"26 Dec 2012","12350.25","12519","12304.7","12479.00"
"24 Dec 2012","12363.85","12366.25","12265.75","12317.00"
"21 Dec 2012","12423.6","12432.2","12288.9","12315.00"
"20 Dec 2012","12514.6","12514.6","12385.1","12486.00"
"19 Dec 2012","12514","12571.6","12455.55","12510.00"
"18 Dec 2012","12455.7","12522.65","12197.2","12477.00"
"17 Dec 2012","12403.65","12462.25","12402.7","12427.00"
"14 Dec 2012","12247.25","12447.35","12242.8","12424.00"
"13 Dec 2012","12337.35","12438.85","12251.05","12269.00"
"12 Dec 2012","12374.7","12385.55","12271.35","12301.00"
"11 Dec 2012","12418.95","12538.9","12238","12344.00"
"10 Dec 2012","12380","12409.75","12341.15","12381.00"
"07 Dec 2012","12462.4","12477.85","12305.65","12363.00"
"06 Dec 2012","12358.35","12480.6","12142.6","12427.00"
"05 Dec 2012","12240.85","12314.8","12219.3","12281.00"
"04 Dec 2012","12092.75","12215.5","12075.9","12197.00"
"03 Dec 2012","12126.6","12165.65","12053.45","12103.00"
"30 Nov 2012","12082.55","12175.3","12001.15","12158.00"
"29 Nov 2012","11706.9","12035.4","11703.25","11992.00"
"27 Nov 2012","11502.2","11663.5","11502.2","11657.00"
"26 Nov 2012","11534.2","11534.2","11411.1","11432.00"
"23 Nov 2012","11540.6","11549","11392","11475.00"
"22 Nov 2012","11497.35","11570.85","11495.05","11508.00"
"21 Nov 2012","11352.2","11477.35","11303.75","11465.00"
"20 Nov 2012","11373.95","11409.8","11269.7","11318.00"
"19 Nov 2012","11342.65","11378.25","11256.4","11306.00"
"16 Nov 2012","11487.55","11537.15","11306.05","11335.00"
"15 Nov 2012","11493.1","11530.25","11419.05","11521.00"
"13 Nov 2012","11585.3","11598.25","11513.4","11533.00"
"12 Nov 2012","11488.1","11608.8","11462.3","11583.00"
"09 Nov 2012","11608.8","11663.9","11427.2","11475.00"
"08 Nov 2012","11561.35","11637.95","11533.3","11613.00"
"07 Nov 2012","11545.35","11719.1","11519.6","11665.00"
"06 Nov 2012","11427.95","11568.45","11427.95","11539.00"
"05 Nov 2012","11449.7","11489.3","11401.3","11475.00"
"02 Nov 2012","11450.65","11477.55","11394.15","11460.00"
"01 Nov 2012","11266.5","11349.4","11230.2","11315.00"
"31 Oct 2012","11204.95","11290","11125.2","11268.00"
"30 Oct 2012","11467.2","11600.05","11173.8","11203.00"
"29 Oct 2012","11506.5","11585.8","11431.95","11472.00"
"26 Oct 2012","11580.85","11631.25","11468.25","11509.00"
"25 Oct 2012","11542.3","11643.4","11542.3","11614.00"
"23 Oct 2012","11605.8","11656.8","11534.55","11578.00"
"22 Oct 2012","11422.1","11619.25","11419.4","11607.00"
"19 Oct 2012","11539.05","11605.65","11424.25","11491.00"
"18 Oct 2012","11406.45","11594.6","11364.2","11586.00"
"17 Oct 2012","11417.1","11425.45","11302.9","11358.00"
"16 Oct 2012","11495.5","11508.5","11328.25","11348.00"
"15 Oct 2012","11397.7","11454.8","11288.4","11441.00"
"12 Oct 2012","11469.2","11527.15","11372.1","11388.00"
"11 Oct 2012","11334.9","11476.95","11244.7","11431.00"
"10 Oct 2012","11380.25","11380.25","11271.15","11291.00"
"09 Oct 2012","11442.75","11528.35","11373.7","11446.00"
"08 Oct 2012","11530.65","11530.65","11342.85","11362.00"
"05 Oct 2012","11745.2","11745.2","10043.6","11511.00"
"04 Oct 2012","11460.15","11685.55","11460.15","11636.00"
"03 Oct 2012","11440.2","11471.85","11361.65","11414.00"
"01 Oct 2012","11462.1","11466.05","11366.4","11420.00"
"28 Sep 2012","11486.55","11536.85","11437.9","11456.00"
"27 Sep 2012","11466.25","11490.25","11378.35","11419.00"
"26 Sep 2012","11385.7","11441.05","11322.25","11427.00"
"25 Sep 2012","11450.45","11517.65","11321.2","11420.00"
"24 Sep 2012","11359.3","11533.75","11359.3","11423.00"
"21 Sep 2012","10973.15","11433.1","10973.15","11358.00"
"20 Sep 2012","10907.7","11031.8","10887","10920.00"
"18 Sep 2012","10949.95","11065","10922.7","11043.00"
"17 Sep 2012","10797.1","11045.45","10797.1","10981.00"
"14 Sep 2012","10408.25","10664.55","10408.25","10642.00"
