"Date","Open","High","Low","Close"
"31 Dec 2012","6042.15","6051.7","6009.7","6035.00"
"28 Dec 2012","6061.25","6091.5","6006","6035.50"
"27 Dec 2012","6089.45","6107.6","6031.4","6044.60"
"26 Dec 2012","6022.65","6088.25","6022.65","6061.10"
"24 Dec 2012","5986.9","6023.6","5974.55","6010.80"
"21 Dec 2012","6067.95","6073.2","5963.65","5972.10"
"20 Dec 2012","6091.75","6145.15","6058.05","6072.40"
"19 Dec 2012","5995.6","6099.05","5994.7","6084.60"
"18 Dec 2012","5965","6012.1","5952.5","5985.00"
"17 Dec 2012","5922.85","5955.1","5922.45","5945.20"
"14 Dec 2012","5957.7","5987.15","5909.45","5918.90"
"13 Dec 2012","5995.8","6015.85","5942.1","5950.20"
"12 Dec 2012","5990.8","5994.05","5961.1","5984.90"
"11 Dec 2012","5977.05","6061.6","5945.9","5973.30"
"10 Dec 2012","5891.85","5975.1","5879.95","5955.00"
"07 Dec 2012","5878.8","5892.65","5852.35","5887.10"
"06 Dec 2012","5883.5","5901","5812.95","5875.50"
"05 Dec 2012","5894.5","5906.45","5860.25","5870.80"
"04 Dec 2012","5847.15","5902.3","5842.15","5870.00"
"03 Dec 2012","5873.15","5887.7","5842.8","5854.80"
"30 Nov 2012","5843.15","5881.4","5822.45","5869.70"
"29 Nov 2012","5764.45","5845.85","5764.45","5833.80"
"27 Nov 2012","5707.1","5758.1","5707.1","5748.00"
"26 Nov 2012","5689.15","5728.55","5682.95","5698.40"
"23 Nov 2012","5681.1","5708.15","5646.85","5680.80"
"22 Nov 2012","5714.15","5714.15","5672.3","5694.40"
"21 Nov 2012","5644.05","5706.7","5629.95","5689.30"
"20 Nov 2012","5642.35","5653.95","5591.4","5631.00"
"19 Nov 2012","5661.6","5684.6","5611.95","5624.50"
"16 Nov 2012","5661.4","5711.8","5643.85","5658.80"
"15 Nov 2012","5737.9","5737.9","5659.05","5683.80"
"13 Nov 2012","5763.2","5771.7","5737.7","5744.60"
"12 Nov 2012","5759.45","5770.65","5724.8","5750.90"
"09 Nov 2012","5764.2","5791.45","5743.05","5751.50"
"08 Nov 2012","5794.55","5837.95","5739.9","5766.60"
"07 Nov 2012","5802.95","5833.75","5785","5805.00"
"06 Nov 2012","5783.6","5807.85","5762.1","5798.60"
"05 Nov 2012","5736.5","5796.9","5736.5","5756.50"
"02 Nov 2012","5739.5","5751.2","5722.35","5736.80"
"01 Nov 2012","5677.1","5722.5","5672.25","5713.30"
"31 Oct 2012","5561.65","5676.35","5561.65","5667.00"
"30 Oct 2012","5563.25","5588.75","5548.8","5566.40"
"29 Oct 2012","5547.1","5583","5544.95","5570.00"
"26 Oct 2012","5584.55","5596.45","5517.55","5542.20"
"25 Oct 2012","5632.1","5635.6","5593","5603.80"
"23 Oct 2012","5648.8","5678","5625.05","5631.40"
"22 Oct 2012","5584.5","5646.9","5577.6","5642.50"
"19 Oct 2012","5616.4","5623.45","5556.85","5590.00"
"18 Oct 2012","5631.85","5641.35","5600.95","5613.00"
"17 Oct 2012","5631.85","5649.1","5612.35","5626.40"
"16 Oct 2012","5666.45","5666.95","5589.8","5606.30"
"15 Oct 2012","5639.4","5664.2","5617.15","5643.70"
"12 Oct 2012","5621.7","5640.75","5603.7","5622.20"
"11 Oct 2012","5640.5","5651.45","5564.1","5598.60"
"10 Oct 2012","5676.6","5703.95","5628.6","5637.00"
"09 Oct 2012","5610.4","5698.9","5610.4","5679.20"
"08 Oct 2012","5550.4","5624.75","5536.15","5595.50"
"05 Oct 2012","5636.8","5637.95","5274.5","5532.10"
"04 Oct 2012","5690.75","5702.4","5605.35","5617.60"
"03 Oct 2012","5644.2","5695.9","5608.45","5673.40"
"01 Oct 2012","5642.8","5659.25","5620.6","5635.40"
"28 Sep 2012","5551.3","5634.9","5530.95","5623.00"
"27 Sep 2012","5547.95","5575.4","5524.75","5538.70"
"26 Sep 2012","5511.2","5565.45","5511.2","5541.80"
"25 Sep 2012","5505","5555.5","5501.65","5526.60"
"24 Sep 2012","5503.4","5533.75","5481.4","5507.00"
"21 Sep 2012","5533.55","5592.15","5497","5506.10"
"20 Sep 2012","5506.85","5547.1","5482.8","5514.90"
"18 Sep 2012","5531.1","5581.1","5517.4","5527.10"
"17 Sep 2012","5645.95","5673.75","5494.55","5530.40"
"14 Sep 2012","5766.6","5766.6","5622.25","5632.50"
"13 Sep 2012","5793.4","5793.4","5700.3","5708.10"
"12 Sep 2012","5831.4","5840.45","5780.9","5789.80"
"11 Sep 2012","5806.95","5844.4","5785.75","5801.90"
"10 Sep 2012","5760.5","5809.6","5760.5","5799.20"
"08 Sep 2012","5694.9","5762.7","5693.25","5748.10"
"07 Sep 2012","5634.8","5686.25","5634.8","5680.80"
"06 Sep 2012","5561.55","5616","5547.5","5606.20"
"05 Sep 2012","5627.3","5644.9","5559.4","5578.10"
"04 Sep 2012","5649.7","5662.5","5633.4","5645.00"
"03 Sep 2012","5652.75","5675.45","5630.35","5644.50"
"31 Aug 2012","5641.25","5692.2","5619","5648.90"
"30 Aug 2012","5623.05","5669.75","5613.7","5650.30"
"29 Aug 2012","5626.4","5651.4","5614.55","5618.00"
"28 Aug 2012","5608.4","5624.8","5556.4","5613.10"
"27 Aug 2012","5608.85","5626.85","5589.35","5600.50"
"24 Aug 2012","5602.8","5610.85","5577.1","5601.30"
"23 Aug 2012","5576.5","5640.05","5576.5","5603.30"
"22 Aug 2012","5528.15","5581.05","5522","5551.50"
"21 Aug 2012","5524.15","5541.7","5504","5528.40"
"17 Aug 2012","5506.15","5536.4","5498.95","5524.90"
"16 Aug 2012","5503.5","5537.2","5486.65","5500.70"
"14 Aug 2012","5507.75","5511.55","5477.9","5496.00"
"13 Aug 2012","5503.8","5537.45","5503.8","5516.10"
"10 Aug 2012","5519.65","5538.2","5482.25","5502.80"
"09 Aug 2012","5544.5","5571.8","5518.7","5524.90"
"08 Aug 2012","5521.75","5551.45","5515.6","5530.70"
"07 Aug 2012","5557.7","5578.2","5520.6","5529.50"
"06 Aug 2012","5530.85","5567.1","5525.55","5532.40"
"03 Aug 2012","5462.95","5520.65","5446.05","5506.10"
"02 Aug 2012","5477","5488.25","5447.1","5468.40"
"01 Aug 2012","5468.6","5492.25","5437.4","5476.40"
"31 Jul 2012","5399","5425.6","5377.4","5413.80"
"30 Jul 2012","5307.75","5386.2","5298.3","5379.30"
"27 Jul 2012","5303.75","5316.35","5257.1","5287.00"
"26 Jul 2012","5306.3","5324.5","5244.35","5273.80"
"25 Jul 2012","5290.4","5305.65","5243.95","5289.20"
"24 Jul 2012","5269.55","5284.75","5222.2","5276.80"
"23 Jul 2012","5248.15","5265.25","5228.95","5257.50"
"20 Jul 2012","5306.2","5312.25","5260.65","5264.60"
"19 Jul 2012","5333.8","5351.85","5312.4","5318.80"
"18 Jul 2012","5365.15","5365.15","5300.4","5312.50"
"17 Jul 2012","5332.95","5395.35","5332.95","5345.20"
"16 Jul 2012","5248.55","5344.75","5248.55","5312.50"
"13 Jul 2012","5260.55","5268","5242.15","5247.40"
"12 Jul 2012","5240.65","5268.05","5211.6","5251.10"
"11 Jul 2012","5264.15","5275.25","5246.15","5255.60"
"10 Jul 2012","5224.35","5277","5223.15","5271.20"
"09 Jul 2012","5244.6","5250.7","5211.85","5219.20"
"06 Jul 2012","5248.95","5264.9","5222.8","5259.60"
"05 Jul 2012","5221.85","5263.6","5217.7","5253.40"
"04 Jul 2012","5255","5267.7","5218.8","5235.50"
"03 Jul 2012","5236.95","5279.35","5229.5","5237.10"
"02 Jul 2012","5209.95","5247.55","5209.95","5233.70"
