"Date","Open","High","Low","Close"
"31 Dec 2012","2872.05","2894.1","2872.05","2891.20"
"28 Dec 2012","2841.35","2879.05","2840.75","2873.30"
"27 Dec 2012","2849.65","2854.95","2827.4","2832.10"
"26 Dec 2012","2836.15","2845.7","2832.4","2842.00"
"24 Dec 2012","2831.3","2833","2820.55","2829.30"
"21 Dec 2012","2858.95","2858.95","2825.75","2834.50"
"20 Dec 2012","2878","2878","2849.25","2865.40"
"19 Dec 2012","2851.9","2879.05","2851.9","2873.70"
"18 Dec 2012","2819.2","2841.1","2805.25","2837.00"
"17 Dec 2012","2806","2827.8","2806","2811.40"
"14 Dec 2012","2816.3","2820.9","2794.55","2812.90"
"13 Dec 2012","2828.9","2837.35","2803.4","2813.30"
"12 Dec 2012","2863.75","2863.75","2821.7","2825.40"
"11 Dec 2012","2894.5","2901.6","2840.1","2859.20"
"10 Dec 2012","2906.05","2906.05","2879.95","2886.60"
"07 Dec 2012","2914.3","2923.25","2888.05","2895.50"
"06 Dec 2012","2893.65","2920.15","2868.65","2910.00"
"05 Dec 2012","2888.25","2899.75","2883.2","2890.20"
"04 Dec 2012","2873.4","2903.45","2873.4","2880.10"
"03 Dec 2012","2873.55","2885.35","2864","2872.60"
"30 Nov 2012","2826.4","2879.6","2826.4","2875.50"
"29 Nov 2012","2791.55","2821.45","2789","2818.10"
"27 Nov 2012","2789.15","2803.1","2781.7","2786.00"
"26 Nov 2012","2800.4","2801.4","2774.7","2777.80"
"23 Nov 2012","2804.55","2813.7","2783.85","2791.40"
"22 Nov 2012","2803.65","2807.15","2791.65","2801.40"
"21 Nov 2012","2812.4","2818.85","2796.65","2801.90"
"20 Nov 2012","2818.1","2827.9","2804.8","2812.70"
"19 Nov 2012","2830.85","2840","2812.3","2814.60"
"16 Nov 2012","2833.7","2861","2826.45","2835.50"
"15 Nov 2012","2844.75","2849.8","2829","2840.40"
"13 Nov 2012","2852.65","2870.8","2848.45","2851.30"
"12 Nov 2012","2849.2","2866.4","2841.05","2849.10"
"09 Nov 2012","2894.5","2905.55","2848.65","2851.50"
"08 Nov 2012","2889.9","2901.55","2881.95","2899.40"
"07 Nov 2012","2895.45","2914.2","2894.05","2905.00"
"06 Nov 2012","2882.85","2904.8","2880.15","2901.10"
