"Date","Open","High","Low","Close"
"31 Dec 2012","278.45","283.05","278.05","281.30"
"28 Dec 2012","279.35","281.4","276.95","278.35"
"27 Dec 2012","280","282.05","278.15","278.60"
"26 Dec 2012","275.85","281.3","275.85","279.70"
"24 Dec 2012","274.15","276.65","273.9","275.45"
"21 Dec 2012","282.85","282.85","272.55","273.55"
"20 Dec 2012","284.05","285.4","278.9","283.70"
"19 Dec 2012","283.7","288.3","282.85","284.50"
"18 Dec 2012","276.25","283.5","272.35","282.95"
"17 Dec 2012","275","278.5","274.9","276.35"
"14 Dec 2012","272.7","277.1","272.55","274.75"
"13 Dec 2012","278.5","281.35","271.65","272.25"
"12 Dec 2012","278.6","281.3","276","278.15"
"11 Dec 2012","284.25","286.95","274.4","277.85"
"10 Dec 2012","281.35","285.75","280.3","283.85"
"07 Dec 2012","285.85","287.25","278.75","280.65"
"06 Dec 2012","281","285.75","277.1","285.50"
"05 Dec 2012","273.5","282.1","273.5","279.95"
"04 Dec 2012","270.1","274.7","268.9","272.70"
"03 Dec 2012","267.5","271.8","266.05","270.40"
"30 Nov 2012","267.5","270.1","264.95","266.55"
"29 Nov 2012","257.9","267.75","257.9","266.90"
"27 Nov 2012","249.3","259.75","249.3","257.60"
"26 Nov 2012","248.15","251.05","246.25","248.75"
"23 Nov 2012","249.35","250.1","246.05","247.90"
"22 Nov 2012","249","252.45","246.5","249.30"
"21 Nov 2012","242.45","249.65","241","248.65"
"20 Nov 2012","250.7","254.05","241.65","242.40"
"19 Nov 2012","250.5","253.5","248.45","250.40"
"16 Nov 2012","259.55","262.7","248.4","250.45"
"15 Nov 2012","253.1","261","250.45","260.00"
"13 Nov 2012","253.8","255.9","252.55","254.20"
"12 Nov 2012","252.05","255.55","250.3","254.60"
"09 Nov 2012","256.3","259.25","251.1","252.15"
"08 Nov 2012","250.1","256.6","246.15","256.00"
"07 Nov 2012","243.5","252.05","243.5","251.20"
"06 Nov 2012","238.6","244.2","238","243.95"
"05 Nov 2012","239.35","240.2","237.2","238.90"
"02 Nov 2012","239.05","241.95","238.6","239.50"
"01 Nov 2012","233.85","238.55","232.95","238.00"
"31 Oct 2012","230.9","234.7","228.3","234.15"
"30 Oct 2012","236.2","238.75","229.2","230.95"
"29 Oct 2012","237.7","240.4","234.95","236.35"
"26 Oct 2012","240.4","242.2","236.95","238.35"
"25 Oct 2012","245.25","246.15","237.85","241.10"
"23 Oct 2012","246.8","248.55","244.6","245.05"
"22 Oct 2012","244.8","247.4","242.65","246.65"
"19 Oct 2012","247.2","248.8","243.5","245.65"
"18 Oct 2012","242.05","248.6","241.2","248.10"
"17 Oct 2012","241.65","246.55","239.25","240.90"
"16 Oct 2012","251","253.05","241.45","242.25"
"15 Oct 2012","248.7","252.15","247.85","250.35"
"12 Oct 2012","251.35","255.2","248.3","249.00"
"11 Oct 2012","239.7","252.4","239.7","251.70"
"10 Oct 2012","250.4","250.4","239.35","240.05"
"09 Oct 2012","249.7","253.45","248.5","252.25"
"08 Oct 2012","258.7","259.5","249.7","250.80"
"05 Oct 2012","260.65","263.5","251.45","260.65"
"04 Oct 2012","247.55","260.25","247.55","259.30"
"03 Oct 2012","246.5","248.15","244.6","246.90"
"01 Oct 2012","246.1","247.2","242.75","246.05"
"28 Sep 2012","247.85","253.05","244.7","245.40"
"27 Sep 2012","245.3","248","244.9","247.10"
"26 Sep 2012","244.1","249.55","241.4","244.90"
"25 Sep 2012","239.95","247.35","236.15","244.60"
"24 Sep 2012","235.55","244.25","235.55","239.50"
"21 Sep 2012","231.25","239.2","231.25","236.10"
"20 Sep 2012","230.3","233.35","225.25","230.95"
"18 Sep 2012","230","232","229.05","231.10"
"17 Sep 2012","217.9","231.5","217.9","230.70"
"14 Sep 2012","207.9","216.95","207.9","216.50"
"13 Sep 2012","207.85","211.05","205.8","206.60"
"12 Sep 2012","206.05","208.2","204.9","207.70"
"11 Sep 2012","202.8","205.55","201.7","205.30"
"10 Sep 2012","205.05","205.7","202.35","203.40"
"08 Sep 2012","204.4","205.5","204.05","205.15"
"07 Sep 2012","200.25","204.8","200.25","204.30"
"06 Sep 2012","198.7","200.9","197.75","198.30"
"05 Sep 2012","200.65","201.9","198.2","199.15"
"04 Sep 2012","197.85","202","197.85","201.55"
"03 Sep 2012","199.35","202.1","197.55","198.20"
"31 Aug 2012","200.55","202.95","197.75","199.00"
"30 Aug 2012","198.25","202.15","196.65","201.75"
"29 Aug 2012","206.35","206.75","197.9","198.60"
"28 Aug 2012","206.35","207.1","203.2","205.60"
"27 Aug 2012","211.35","212.25","205.7","206.30"
"24 Aug 2012","216.3","216.3","211.1","211.60"
"23 Aug 2012","217.65","218.5","215.3","216.85"
"22 Aug 2012","219.1","219.65","216.6","217.35"
"21 Aug 2012","216.75","220.05","216.75","219.75"
"17 Aug 2012","220.45","221.55","215.35","216.35"
"16 Aug 2012","221.6","222.8","220.3","220.80"
"14 Aug 2012","223.2","223.35","219.25","221.30"
"13 Aug 2012","217.35","223.45","217","223.10"
"10 Aug 2012","218.1","218.8","215.8","217.15"
"09 Aug 2012","219.75","221.5","217","218.40"
"08 Aug 2012","225","225.1","218.3","219.10"
"07 Aug 2012","221.1","225.25","220.95","224.10"
"06 Aug 2012","218.6","222.75","218.6","220.80"
"03 Aug 2012","218.85","218.85","214.5","217.95"
"02 Aug 2012","219.65","221.35","218.75","219.40"
"01 Aug 2012","218.3","221.3","217.15","220.15"
"31 Jul 2012","216.05","218.85","212.2","218.30"
"30 Jul 2012","208.85","216.55","208.85","215.85"
"27 Jul 2012","210.95","214.9","206.9","208.25"
"26 Jul 2012","218.05","218.2","208.8","210.10"
"25 Jul 2012","217.6","218.9","214.4","217.80"
"24 Jul 2012","218.5","219.4","216.05","217.90"
"23 Jul 2012","223.8","223.8","217.7","218.45"
"20 Jul 2012","226.9","226.9","223.8","224.85"
"19 Jul 2012","226.65","229.6","226.65","227.15"
"18 Jul 2012","223.85","226.8","221.1","225.80"
"17 Jul 2012","227.45","230","223.25","223.95"
"16 Jul 2012","231.5","232.4","226.2","227.10"
"13 Jul 2012","234.45","235.8","229.9","230.90"
"12 Jul 2012","231.25","235.1","226.95","234.05"
"11 Jul 2012","233.7","233.75","230.95","231.80"
"10 Jul 2012","230.95","234.8","230.95","234.15"
"09 Jul 2012","232.8","232.8","227.7","230.40"
"06 Jul 2012","235.5","235.8","231.5","233.05"
"05 Jul 2012","236.8","237.85","235.25","236.15"
"04 Jul 2012","232.85","237.7","232.85","236.90"
"03 Jul 2012","228.75","233","228.75","232.55"
"02 Jul 2012","223.5","229.8","222.75","228.00"
"29 Jun 2012","218.65","223.85","218.65","222.95"
"28 Jun 2012","218.35","219.65","216.35","217.75"
"27 Jun 2012","217.45","219.5","217","217.70"
"26 Jun 2012","216.55","217.95","215.35","217.00"
"25 Jun 2012","218.45","221.8","215.55","216.10"
"22 Jun 2012","215.4","218.4","213.45","217.55"
"21 Jun 2012","209.65","217.3","208.8","216.80"
"20 Jun 2012","210","211.35","208.8","210.10"
"19 Jun 2012","209.8","210.8","206.4","210.35"
"18 Jun 2012","216.65","220.3","208.75","210.00"
"15 Jun 2012","212.85","216.5","212.85","216.15"
"14 Jun 2012","219","219.35","211.4","212.10"
"13 Jun 2012","222.2","223.25","217.8","218.45"
